team_name,played,points,goal_difference,contexg_for,contexg_against,contexg_difference,home_contexg_difference,away_contexg_difference,home_away_contexg_difference_gap
Manchester City,33,70,37,2.106981,1.009496,1.097485,1.333729,0.875138,0.458591
Arsenal,33,70,37,1.894125,0.920546,0.973579,1.295020,0.671047,0.623973
Liverpool,34,58,13,1.828847,1.231347,0.597500,0.992201,0.202799,0.789403
Manchester United,33,58,13,1.610971,1.303954,0.307017,0.593111,0.037752,0.555359
Aston Villa,34,58,5,1.416483,1.366517,0.049966,0.421583,-0.321650,0.743233
Brighton,34,50,9,1.482041,1.347652,0.134390,0.440330,-0.171551,0.611881
Bournemouth,34,49,0,1.513177,1.449798,0.063379,0.403883,-0.277126,0.681008
Chelsea,34,48,8,1.719849,1.273590,0.446260,0.614660,0.277859,0.336800
Brentford,33,48,4,1.486307,1.320298,0.166009,0.324447,-0.002332,0.326780
Fulham,34,48,-2,1.423249,1.400688,0.022561,0.335417,-0.290294,0.625711
Everton,34,47,0,1.225177,1.520395,-0.295218,-0.004392,-0.586044,0.581652
Sunderland,34,46,-9,1.121780,1.634047,-0.512268,-0.158743,-0.865792,0.707049
Crystal Palace,33,43,-3,1.364699,1.344850,0.019849,0.182497,-0.152964,0.335461
Newcastle United,33,42,-3,1.491456,1.367056,0.124399,0.310771,-0.073620,0.384391
Leeds,34,40,-7,1.363313,1.410447,-0.047134,0.301556,-0.395823,0.697379
Nottingham Forest,34,39,-4,1.195853,1.539311,-0.343457,0.039921,-0.726836,0.766757
West Ham,34,36,-16,1.151457,1.670375,-0.518918,-0.258277,-0.779558,0.521281
Tottenham,34,34,-10,1.227632,1.542295,-0.314663,-0.223046,-0.406280,0.183233
Burnley,34,20,-34,0.956303,2.042917,-1.086613,-0.900159,-1.273067,0.372908
Wolverhampton Wanderers,34,17,-38,0.962561,1.767614,-0.805054,-0.675796,-0.934311,0.258515
