team_name,played,points,goal_difference,contexg_for,contexg_against,contexg_difference,home_contexg_difference,away_contexg_difference,home_away_contexg_difference_gap
Inter,35,82,51,2.365940,0.884156,1.481784,1.829140,1.113996,0.715145
Napoli,35,70,19,1.595714,1.013872,0.581842,0.629230,0.537086,0.092144
AC Milan,35,67,19,1.564399,1.138193,0.426205,0.687552,0.179378,0.508174
Juventus,35,65,28,1.999172,1.034265,0.964906,1.349889,0.557278,0.792611
Roma,35,64,23,1.711904,1.025174,0.686731,1.046957,0.305315,0.741642
Como,35,62,31,1.632004,0.953947,0.678056,0.979675,0.358695,0.620980
Atalanta,35,55,15,1.781059,1.270506,0.510553,0.928857,0.067643,0.861215
Lazio,35,51,5,1.224093,1.338641,-0.114548,0.041552,-0.261975,0.303527
Bologna,35,49,1,1.388555,1.169446,0.219110,0.326505,0.105397,0.221107
Sassuolo,36,49,-2,1.204812,1.627320,-0.422508,-0.220597,-0.624419,0.403823
Udinese,35,47,-3,1.243970,1.372543,-0.128573,0.058950,-0.327126,0.386076
Torino,36,44,-18,1.164507,1.554653,-0.390146,-0.165801,-0.614491,0.448690
Parma Calcio 1913,35,42,-17,0.962801,1.691856,-0.729055,-0.702579,-0.754060,0.051482
Genoa,35,40,-8,1.100849,1.393689,-0.292841,-0.099097,-0.497981,0.398883
Fiorentina,35,37,-11,1.237546,1.421569,-0.184023,0.162799,-0.511577,0.674376
Cagliari,35,37,-13,0.962962,1.527982,-0.565020,-0.525046,-0.602774,0.077727
Lecce,35,32,-23,0.946940,1.644645,-0.697705,-0.366315,-1.010685,0.644370
Cremonese,35,28,-26,0.922640,1.780702,-0.858062,-0.636925,-1.066914,0.429989
Verona,35,20,-33,1.006932,1.413566,-0.406633,-0.252662,-0.552050,0.299388
Pisa,35,18,-38,1.061821,1.798675,-0.736855,-0.402745,-1.090618,0.687874
