team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
9823,Bayern München,20,16,3,1,51,74,18,56,57.67,18.060000000000002,39.61,36.45,33.67,2.799999999999999,0.7018800358102059,0.6585365853658537
9789,Borussia Dortmund,19,12,6,1,42,38,17,21,32.42,18.64,13.780000000000001,12.2,12.0,0.1800000000000006,0.5682087781731909,0.5398633257403189
8226,Hoffenheim,20,13,3,4,42,43,23,20,30.95,28.72,2.2300000000000004,1.4399999999999977,3.0400000000000027,-1.62,0.526824034334764,0.50390625
10269,VfB Stuttgart,20,12,3,5,39,37,26,11,32.839999999999996,26.98,5.859999999999996,7.440000000000001,5.799999999999997,1.6600000000000001,0.5358224016145308,0.5551601423487544
178475,RB Leipzig,20,11,3,6,36,38,27,11,37.28,30.63,6.650000000000002,6.66,4.93,1.6500000000000012,0.5699020480854853,0.5641476274165202
8178,Bayer Leverkusen,19,11,2,6,35,38,26,12,33.66,22.67,10.989999999999995,10.209999999999997,10.229999999999999,-0.04999999999999982,0.5148741418764302,0.532
8358,Freiburg,20,7,6,7,27,31,33,-2,31.849999999999998,27.38,4.469999999999999,0.5199999999999996,-1.8900000000000006,2.3899999999999997,0.5048648648648648,0.49230769230769234
9810,Eintracht Frankfurt,20,7,6,7,27,40,45,-5,27.27,28.98,-1.7100000000000009,-2.5,-2.5,0.0,0.523093447905478,0.501039501039501
8149,Union Berlin,20,6,6,8,24,25,33,-8,27.16,27.11,0.05000000000000071,2.4099999999999966,-4.459999999999999,6.900000000000001,0.5257270693512305,0.5146771037181996
8722,1. FC Köln,20,6,5,9,23,29,32,-3,29.310000000000002,31.78,-2.469999999999999,0.6900000000000013,2.1899999999999977,-1.5299999999999994,0.4887295081967213,0.49005424954792043
8406,Augsburg,20,6,4,10,22,24,37,-13,21.74,35.83,-14.09,-10.93,-8.350000000000001,-2.5699999999999994,0.43496357960457854,0.480225988700565
9788,Borussia Mönchengladbach,20,5,6,9,21,24,33,-9,26.21,31.21,-5.0,-7.370000000000001,-8.08,0.71,0.430327868852459,0.4147727272727273
9790,Hamburger SV,19,4,7,8,19,19,29,-10,22.71,28.4,-5.689999999999998,-5.68,-5.559999999999999,-0.08000000000000007,0.4525462962962963,0.49209486166007904
8721,Wolfsburg,20,5,4,11,19,28,42,-14,26.57,36.29,-9.719999999999999,-4.9999999999999964,-1.8200000000000003,-3.170000000000001,0.38235294117647056,0.4458955223880597
8697,Werder Bremen,20,4,7,9,19,22,38,-16,23.79,33.81,-10.020000000000003,-10.020000000000003,-6.359999999999999,-3.62,0.4718526100307062,0.47048300536672627
9905,Mainz 05,20,4,6,10,18,23,33,-10,27.58,37.88,-10.300000000000004,-13.449999999999996,-12.609999999999998,-0.8100000000000005,0.48095238095238096,0.42911153119092627
8152,St. Pauli,20,3,5,12,14,18,34,-16,18.22,31.09,-12.870000000000001,-12.88,-10.1,-2.8,0.44716494845360827,0.4759725400457666
94937,FC Heidenheim,19,3,4,12,13,17,42,-25,24.18,35.95,-11.770000000000003,-10.189999999999998,-10.129999999999999,-0.040000000000000036,0.3892694063926941,0.4227005870841487
