team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
8634,Barcelona,22,18,1,3,55,60,23,37,56.230000000000004,27.86,28.370000000000005,26.790000000000003,26.349999999999998,0.3799999999999999,0.6816037735849056,0.678407350689127
8633,Real Madrid,21,16,3,2,51,45,17,28,49.46,22.93,26.53,20.22,15.179999999999996,5.06,0.6810344827586207,0.6580645161290323
9906,Atletico Madrid,22,13,6,3,45,38,17,21,34.81,24.43,10.380000000000003,9.600000000000001,10.129999999999999,-0.5699999999999994,0.6312684365781711,0.5578747628083491
10205,Villarreal,21,13,3,5,42,39,23,16,32.74,25.68,7.060000000000002,9.43,10.34,-0.8899999999999997,0.5028735632183908,0.48134328358208955
8558,Espanyol,22,10,4,8,34,26,27,-1,31.27,27.73,3.539999999999999,3.549999999999997,-1.3599999999999994,4.9,0.48250265111346763,0.5106382978723404
8603,Real Betis,21,8,8,5,32,34,27,7,32.54,26.26,6.279999999999998,7.859999999999999,8.45,-0.5,0.5421436004162331,0.5418803418803418
9910,Celta Vigo,21,8,8,5,32,29,23,6,28.11,28.130000000000003,-0.020000000000003126,2.370000000000001,2.879999999999999,-0.5399999999999991,0.45324532453245325,0.4639175257731959
8560,Real Sociedad,21,7,6,8,27,29,29,0,28.47,29.38,-0.9100000000000001,-1.7100000000000009,-3.75,2.0700000000000003,0.49480249480249483,0.5100182149362478
8371,Osasuna,22,7,5,10,26,26,27,-1,25.4,28.23,-2.830000000000002,-2.8399999999999963,-5.589999999999998,2.76,0.48863636363636365,0.47126436781609193
9866,Deportivo Alaves,22,7,4,11,25,20,27,-7,24.48,26.6,-2.120000000000001,-3.700000000000003,-4.479999999999999,0.7400000000000002,0.45334796926454446,0.4783427495291902
7732,Girona,22,6,7,9,25,21,36,-15,24.04,36.14,-12.100000000000001,-12.890000000000004,-10.959999999999999,-1.92,0.417910447761194,0.38419117647058826
10268,Elche,22,5,9,8,24,30,32,-2,24.56,39.54,-14.98,-12.610000000000003,-8.900000000000002,-3.7,0.4481037924151697,0.418848167539267
8302,Sevilla,21,7,3,11,24,28,33,-5,24.73,34.37,-9.639999999999997,-8.079999999999998,-5.829999999999998,-2.24,0.5047518479408659,0.5126050420168067
8315,Athletic Club,21,7,3,11,24,20,30,-10,29.41,23.759999999999998,5.650000000000002,4.859999999999999,1.4199999999999982,3.4400000000000004,0.6011049723756906,0.5808383233532934
10267,Valencia,21,5,8,8,23,22,33,-11,25.87,27.14,-1.2699999999999996,-1.2799999999999976,0.07000000000000028,-1.37,0.45114345114345117,0.48490945674044267
8370,Rayo Vallecano,21,5,7,9,22,17,28,-11,28.57,27.21,1.3599999999999994,2.1400000000000006,0.990000000000002,1.1600000000000001,0.455467869222097,0.5298507462686567
8305,Getafe,21,6,4,11,22,16,27,-11,14.56,22.59,-8.03,-8.030000000000001,-6.859999999999999,-1.17,0.4563106796116505,0.4779582366589327
8661,Mallorca,21,5,6,10,21,24,33,-9,22.27,35.01,-12.739999999999998,-12.739999999999998,-9.079999999999998,-3.66,0.3721185510428101,0.421455938697318
8581,Levante,21,4,6,11,18,24,34,-10,27.01,34.82,-7.809999999999999,-7.800000000000004,-7.75,-0.09999999999999964,0.38703339882121807,0.3958691910499139
8670,Real Oviedo,22,3,7,12,16,12,34,-22,21.03,37.75,-16.72,-15.140000000000004,-11.25,-3.8499999999999996,0.3889437314906219,0.38838475499092556
