team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
8636,Inter,22,17,1,4,52,50,19,31,44.14,17.330000000000002,26.81,24.43,16.410000000000004,8.009999999999998,0.7208216619981326,0.6847457627118644
8564,Milan,22,13,8,1,47,35,17,18,36.089999999999996,26.23,9.859999999999996,11.43,11.23,0.1800000000000006,0.5726660250240616,0.5531135531135531
9875,Napoli,23,14,4,5,46,33,21,12,32.75,23.98,8.77,11.149999999999999,7.500000000000002,3.6900000000000004,0.6039823008849557,0.5449640287769785
8686,Roma,22,14,1,7,43,27,13,14,30.46,24.31,6.150000000000002,3.7900000000000027,3.8299999999999983,-0.02999999999999936,0.6252587991718427,0.5793499043977055
9885,Juventus,22,12,6,4,42,35,17,18,36.68,17.61,19.07,17.479999999999997,14.580000000000002,2.8899999999999997,0.652542372881356,0.6208695652173913
10171,Como,23,11,8,4,41,37,16,21,37.63,21.74,15.890000000000004,13.510000000000002,11.279999999999998,2.2,0.5836575875486382,0.5971479500891266
8524,Atalanta,23,9,9,5,36,30,20,10,34.730000000000004,27.11,7.6200000000000045,8.409999999999997,8.280000000000001,0.17999999999999972,0.5643564356435643,0.5469798657718121
8543,Lazio,23,8,8,7,32,24,21,3,24.15,29.89,-5.740000000000002,-6.52,-4.560000000000002,-1.9299999999999997,0.46806167400881055,0.4543828264758497
9857,Bologna,22,8,6,8,30,32,27,5,27.400000000000002,27.57,-0.16999999999999815,-1.75,-1.7100000000000009,-0.020000000000000462,0.5329018338727076,0.5480225988700564
7943,Sassuolo,23,8,5,10,29,27,29,-2,24.38,32.31,-7.930000000000003,-7.160000000000004,-7.789999999999999,0.6500000000000004,0.46611053180396245,0.4457831325301205
8600,Udinese,22,8,5,9,29,25,34,-9,25.080000000000002,29.900000000000002,-4.82,-2.4499999999999993,-2.8599999999999994,0.40000000000000036,0.49631190727081137,0.4935779816513762
8529,Cagliari,23,7,7,9,28,28,31,-3,22.0,34.12,-12.119999999999997,-12.119999999999997,-9.26,-2.88,0.372972972972973,0.43278084714548803
9804,Torino,23,7,5,11,26,22,40,-18,26.35,33.51,-7.159999999999997,-7.93,-6.140000000000001,-1.8199999999999994,0.4701348747591522,0.46959459459459457
10233,Genoa,23,5,8,10,23,27,34,-7,28.07,28.45,-0.379999999999999,-1.1700000000000017,-1.6700000000000017,0.4800000000000004,0.4229934924078091,0.45869947275922673
7801,Cremonese,22,5,8,9,23,20,29,-9,21.8,34.72,-12.919999999999998,-12.130000000000003,-11.01,-1.17,0.31664853101196955,0.34177215189873417
10167,Parma,22,5,8,9,23,14,26,-12,20.43,31.21,-10.780000000000001,-9.200000000000003,-10.780000000000001,1.5999999999999996,0.36382536382536385,0.4343257443082312
9888,Lecce,23,4,6,13,18,13,30,-17,17.25,33.2,-15.950000000000003,-12.8,-8.909999999999998,-3.870000000000001,0.37433155080213903,0.4331450094161959
8535,Fiorentina,23,3,8,12,17,25,36,-11,35.82,32.95,2.8699999999999974,2.8599999999999994,1.7100000000000009,1.1500000000000004,0.4820754716981132,0.5072
6479,Pisa,23,1,11,11,14,19,40,-21,25.06,37.95,-12.890000000000004,-14.45,-9.290000000000001,-5.19,0.38704177323103156,0.3931484502446982
9876,Hellas Verona,23,2,8,13,14,18,41,-23,23.51,29.69,-6.18,-5.379999999999999,-0.8399999999999999,-4.52,0.4726027397260274,0.4616724738675958
