team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
9823,Bayern München,22,18,3,1,57,82,19,63,65.21,21.31,43.89999999999999,38.370000000000005,35.72,2.6799999999999997,0.6982017200938233,0.6551181102362205
9789,Borussia Dortmund,22,15,6,1,51,47,20,27,38.93,23.81,15.120000000000001,11.970000000000002,12.200000000000001,-0.2699999999999996,0.5864811133200796,0.5521821631878557
8226,Hoffenheim,22,14,3,5,45,47,28,19,35.03,35.05,-0.01999999999999602,0.7699999999999996,1.6699999999999982,-0.9200000000000017,0.5128676470588235,0.49829351535836175
8178,Bayer Leverkusen,21,12,3,6,39,43,27,16,35.82,24.35,11.469999999999999,10.690000000000001,10.77,-0.09999999999999964,0.523709167544784,0.5303867403314917
178475,RB Leipzig,21,12,3,6,39,40,28,12,39.46,31.37,8.09,8.100000000000001,6.469999999999999,1.5600000000000005,0.5688622754491018,0.568561872909699
10269,VfB Stuttgart,21,12,3,6,39,38,28,10,33.64,28.75,4.890000000000001,7.2500000000000036,5.650000000000002,1.63,0.5366088631984586,0.5470085470085471
9810,Eintracht Frankfurt,22,8,7,7,31,44,46,-2,29.17,31.7,-2.5299999999999976,-2.530000000000001,-2.16,-0.34000000000000075,0.5108695652173914,0.4857685009487666
8358,Freiburg,22,8,6,8,30,32,36,-4,33.47,30.330000000000002,3.139999999999997,-0.8099999999999987,-2.620000000000001,1.790000000000001,0.4860710854947166,0.4751286449399657
9790,Hamburger SV,21,6,7,8,25,24,31,-7,26.17,32.07,-5.899999999999999,-5.110000000000003,-4.610000000000003,-0.47000000000000064,0.4642857142857143,0.48849557522123893
8149,Union Berlin,22,6,7,9,25,28,37,-9,30.79,29.09,1.6999999999999993,2.490000000000002,-4.150000000000002,6.650000000000001,0.5249745158002038,0.52
8722,1. FC Köln,21,6,5,10,23,30,34,-4,30.05,34.01,-3.9599999999999973,-0.7999999999999972,0.9100000000000001,-1.7600000000000007,0.487378640776699,0.48281786941580757
9788,Borussia Mönchengladbach,22,5,7,10,22,25,37,-12,28.09,33.79,-5.699999999999999,-8.059999999999999,-9.239999999999998,1.1999999999999993,0.4410933081998115,0.42931034482758623
8406,Augsburg,21,6,4,11,22,24,39,-15,22.73,38.51,-15.779999999999998,-11.040000000000003,-8.11,-2.91,0.4321110009910803,0.48381294964028776
9905,Mainz 05,22,5,6,11,21,25,37,-12,31.35,40.49,-9.14,-13.869999999999997,-13.489999999999998,-0.34999999999999964,0.48284960422163586,0.42807625649913345
8721,Wolfsburg,21,5,4,12,19,29,44,-15,28.08,37.37,-9.29,-4.57,-1.4600000000000009,-3.09,0.3772683858643744,0.44112478031634444
8697,Werder Bremen,22,4,7,11,19,22,42,-20,25.96,36.15,-10.189999999999998,-9.400000000000002,-5.890000000000001,-3.4899999999999993,0.47593097184377836,0.48355263157894735
8152,St. Pauli,22,4,5,13,17,20,39,-19,20.48,33.48,-12.999999999999996,-13.809999999999999,-11.2,-2.65,0.4419953596287703,0.484472049689441
94937,FC Heidenheim,21,3,4,14,13,19,47,-28,27.88,40.68,-12.8,-9.639999999999997,-10.46,0.8399999999999999,0.3865461847389558,0.4305555555555556
