team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
8633,Real Madrid,24,19,3,2,60,53,19,34,56.12,26.07,30.049999999999997,22.169999999999998,17.160000000000004,5.03,0.6772968868640851,0.6473149492017417
8634,Barcelona,23,19,1,3,58,63,23,40,58.83,28.68,30.15,28.570000000000004,27.04,1.4899999999999993,0.6809954751131222,0.6807580174927114
10205,Villarreal,23,14,3,6,45,44,26,18,34.21,27.49,6.720000000000002,9.870000000000001,10.54,-0.6200000000000001,0.5098743267504489,0.4850615114235501
9906,Atletico Madrid,24,13,6,5,45,38,21,17,36.68,26.93,9.75,8.969999999999999,9.14,-0.1999999999999993,0.6372727272727273,0.5520282186948854
8603,Real Betis,24,11,8,5,41,39,29,10,37.21,29.91,7.300000000000001,8.870000000000001,10.440000000000001,-1.4699999999999998,0.519742883379247,0.5369532428355958
8558,Espanyol,24,10,5,9,35,29,33,-4,32.31,31.71,0.6000000000000014,0.6099999999999994,-3.8599999999999994,4.44,0.4697986577181208,0.5057660626029654
9910,Celta Vigo,24,8,10,6,34,32,27,5,33.19,29.93,3.259999999999998,4.859999999999999,5.359999999999999,-0.5199999999999996,0.47452830188679246,0.4781021897810219
8560,Real Sociedad,24,8,7,9,31,34,35,-1,34.43,34.72,-0.28999999999999915,-0.3000000000000007,-2.870000000000001,2.5999999999999996,0.47554347826086957,0.5016077170418006
8315,Athletic Club,24,9,4,11,31,27,34,-7,34.02,26.46,7.560000000000002,5.989999999999998,2.8500000000000014,3.120000000000001,0.6147859922178989,0.5989583333333334
8371,Osasuna,24,8,6,10,30,28,28,0,26.87,32.38,-5.510000000000002,-4.73,-7.090000000000002,2.37,0.47862453531598514,0.45454545454545453
8305,Getafe,24,8,5,11,29,20,28,-8,18.37,25.16,-6.789999999999999,-8.370000000000001,-7.619999999999999,-0.7400000000000002,0.45787545787545786,0.48565573770491804
8302,Sevilla,24,7,5,12,26,31,39,-8,27.1,40.83,-13.729999999999997,-10.580000000000002,-8.119999999999997,-2.4699999999999998,0.4967441860465116,0.5036764705882353
9866,Deportivo Alaves,24,7,5,12,26,21,30,-9,28.11,28.79,-0.6799999999999997,-1.4699999999999989,-2.620000000000001,1.1099999999999994,0.46586345381526106,0.48353552859618715
10267,Valencia,24,6,8,10,26,25,37,-12,28.5,30.73,-2.2300000000000004,-2.2300000000000004,-0.4499999999999993,-1.8100000000000005,0.4521819870009285,0.48028673835125446
7732,Girona,23,6,8,9,26,22,37,-15,26.36,36.78,-10.420000000000002,-11.999999999999996,-10.419999999999998,-1.58,0.42267050912584053,0.3929824561403509
10268,Elche,24,5,10,9,25,31,35,-4,27.75,43.32,-15.57,-13.21,-9.889999999999997,-3.31,0.46153846153846156,0.4345718901453958
8370,Rayo Vallecano,23,6,7,10,25,21,30,-9,31.150000000000002,30.560000000000002,0.5899999999999999,2.16,1.4100000000000001,0.7599999999999998,0.43409316154608524,0.5264957264957265
8661,Mallorca,24,6,6,12,24,29,39,-10,26.91,40.84,-13.930000000000003,-14.729999999999997,-9.870000000000001,-4.859999999999999,0.3843248347497639,0.4150326797385621
8581,Levante,23,4,6,13,18,26,40,-14,28.330000000000002,37.85,-9.52,-9.509999999999998,-10.149999999999999,0.5899999999999999,0.3912248628884826,0.39325842696629215
8670,Real Oviedo,23,3,7,13,16,13,36,-23,21.41,38.72,-17.31,-14.940000000000005,-10.979999999999999,-3.9299999999999997,0.3917228103946102,0.38704028021015763
