team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
9847,Paris Saint-Germain,22,16,3,3,51,49,19,30,44.15,20.81,23.34,23.330000000000002,18.15,5.17,0.6873315363881402,0.6701030927835051
8588,Lens,21,16,1,4,49,37,17,20,39.04,27.330000000000002,11.709999999999997,12.510000000000002,9.7,2.8200000000000003,0.5525291828793775,0.5371747211895911
9748,Lyon,21,13,3,5,42,34,20,14,34.47,24.12,10.349999999999998,9.57,7.780000000000001,1.7699999999999996,0.5581643543223053,0.5292929292929293
8592,Marseille,21,12,3,6,39,46,27,19,38.46,28.86,9.600000000000001,7.2500000000000036,5.860000000000003,1.38,0.5590551181102362,0.5864077669902913
9851,Rennes,22,9,7,6,34,34,35,-1,33.19,35.2,-2.010000000000005,-0.4399999999999977,-1.4800000000000004,0.9800000000000004,0.4703065134099617,0.4866666666666667
8639,Lille,21,10,3,8,33,34,30,4,35.67,29.61,6.060000000000002,5.27,4.129999999999999,1.0899999999999999,0.6203615604186489,0.5875486381322957
9829,Monaco,22,9,4,9,31,35,34,1,37.93,32.36,5.57,5.580000000000002,6.07,-0.5,0.5241248817407758,0.48404255319148937
9848,Strasbourg,21,9,3,9,30,34,27,7,33.6,26.57,7.030000000000001,7.010000000000002,8.629999999999999,-1.5500000000000003,0.4954022988505747,0.4968152866242038
9941,Toulouse,21,8,6,7,30,31,24,7,27.53,26.61,0.9200000000000017,-1.4299999999999997,-3.2300000000000004,1.8399999999999999,0.5518324607329843,0.5150300601202404
8121,Angers,21,8,5,8,29,22,25,-3,20.88,33.23,-12.349999999999998,-10.779999999999998,-6.780000000000001,-4.01,0.4109090909090909,0.4024144869215292
8689,Lorient,21,7,7,7,28,27,33,-6,27.98,28.46,-0.4800000000000004,1.0899999999999999,2.0500000000000007,-0.9300000000000006,0.48032407407407407,0.5255319148936171
8521,Brest,21,7,5,9,26,28,33,-5,31.2,29.05,2.1499999999999986,-2.59,-3.0100000000000016,0.4400000000000004,0.4618937644341801,0.486328125
9746,Le Havre,21,5,8,8,23,18,26,-8,23.75,29.09,-5.34,-6.140000000000001,-7.390000000000001,1.2800000000000002,0.4221165279429251,0.4816326530612245
9831,Nice,21,6,5,10,23,27,38,-11,25.72,37.06,-11.340000000000003,-7.399999999999999,-4.77,-2.6499999999999995,0.4079207920792079,0.43106457242582896
6379,Paris FC,21,5,7,9,22,26,34,-8,26.42,33.65,-7.229999999999997,-4.07,0.019999999999999574,-4.0600000000000005,0.48478015783540024,0.4968814968814969
8583,Auxerre,21,3,5,13,14,14,29,-15,23.65,30.7,-7.050000000000001,-9.41,-9.55,0.0699999999999994,0.4674329501915709,0.47478991596638653
9830,Nantes,22,3,5,14,14,20,40,-20,21.44,34.55,-13.109999999999996,-13.11,-11.84,-1.25,0.4295432458697765,0.4213381555153707
8550,Metz,21,3,4,14,13,21,46,-25,22.02,39.84,-17.820000000000004,-16.24,-14.34,-1.8899999999999997,0.341842397336293,0.374
