team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
9825,Arsenal,25,17,5,3,56,49,17,32,43.87,16.56,27.31,24.960000000000004,15.370000000000001,9.549999999999999,0.6845528455284553,0.6584507042253521
8456,Manchester City,25,15,5,5,50,51,24,27,46.54,28.28,18.259999999999998,16.69,13.939999999999998,2.74,0.6270310192023634,0.5923460898502496
10252,Aston Villa,25,14,5,6,47,36,27,9,31.14,36.18,-5.039999999999999,-3.460000000000001,-1.129999999999999,-2.34,0.5197827773467805,0.49056603773584906
10260,Manchester United,26,12,9,5,45,47,37,10,45.53,32.13,13.399999999999999,11.819999999999997,10.940000000000001,0.870000000000001,0.5407629020194465,0.5943262411347517
8455,Chelsea,26,12,8,6,44,47,30,17,50.53,36.49,14.04,9.299999999999997,12.68,-3.3599999999999994,0.5574667709147771,0.55625
8650,Liverpool,25,11,6,8,39,40,35,5,39.89,29.78,10.11,11.690000000000001,14.470000000000002,-2.7800000000000002,0.6147123088128187,0.5881458966565349
9937,Brentford,25,12,3,10,39,39,34,5,40.39,35.66,4.730000000000004,3.9499999999999993,0.4200000000000017,3.540000000000001,0.4765625,0.44673539518900346
8668,Everton,26,10,7,9,37,29,30,-1,30.63,38.31,-7.680000000000003,-6.900000000000002,-8.349999999999998,1.4799999999999986,0.47949291573452646,0.44773790951638065
8678,AFC Bournemouth,26,9,10,7,37,43,45,-2,41.589999999999996,38.17,3.4199999999999946,3.4099999999999966,1.6999999999999993,1.6799999999999997,0.46315028901734107,0.5160818713450293
10261,Newcastle United,26,10,6,10,36,37,37,0,39.7,31.15,8.550000000000004,7.759999999999998,1.5700000000000003,6.26,0.5195195195195195,0.5414710485133021
8472,Sunderland,25,9,9,7,36,27,29,-2,22.19,34.69,-12.499999999999996,-13.29,-14.190000000000001,0.9300000000000006,0.37880032867707475,0.40468227424749165
9879,Fulham,25,10,4,11,34,35,37,-2,29.64,35.84,-6.200000000000003,-5.409999999999997,-2.3699999999999974,-3.0900000000000007,0.4787489975942261,0.5025041736227045
9826,Crystal Palace,25,8,8,9,32,26,29,-3,39.11,33.0,6.109999999999999,4.540000000000003,6.630000000000003,-2.09,0.5087281795511222,0.5017543859649123
10204,Brighton & Hove Albion,25,7,10,8,31,34,33,1,38.47,35.52,2.9499999999999957,3.729999999999997,2.34,1.4500000000000002,0.5078888054094666,0.5181674565560821
8463,Leeds United,26,7,9,10,30,36,45,-9,37.37,39.730000000000004,-2.3600000000000065,-2.3699999999999974,-3.6099999999999994,1.17,0.4987593052109181,0.496875
8586,Tottenham Hotspur,26,7,8,11,29,36,37,-1,27.24,37.44,-10.2,-9.41,-6.199999999999999,-3.1400000000000006,0.49295774647887325,0.4682926829268293
10203,Nottingham Forest,25,7,5,13,26,25,38,-13,28.01,38.22,-10.209999999999997,-7.840000000000003,-2.3900000000000006,-5.48,0.4604496253122398,0.4830917874396135
8654,West Ham United,26,6,6,14,24,32,49,-17,29.06,43.01,-13.95,-11.59,-10.380000000000003,-1.2199999999999989,0.388801261829653,0.40519877675840976
8191,Burnley,25,3,6,16,15,25,49,-24,21.3,49.4,-28.099999999999998,-24.939999999999998,-19.98,-4.97,0.34471544715447155,0.35714285714285715
8602,Wolverhampton Wanderers,25,1,5,19,8,16,48,-32,23.09,35.730000000000004,-12.640000000000004,-12.64,-11.459999999999999,-1.2000000000000002,0.4286919831223629,0.4225352112676056
