manager,matches,goals_for,goals_against,xg_for,xg_against,own_goals_for,own_goals_against,gf_minus_xg,xga_minus_ga,goals_for_adj,goals_against_adj,gf_adj_minus_xg,xga_minus_ga_adj,goals_for_per_match,xg_for_per_match,goals_against_per_match,xg_against_per_match,gf_minus_xg_per_match,xga_minus_ga_per_match,goals_for_adj_per_match,goals_against_adj_per_match,gf_adj_minus_xg_per_match,xga_minus_ga_adj_per_match,goals_for_se,goals_for_ci_low,goals_for_ci_high,goals_against_se,goals_against_ci_low,goals_against_ci_high,xg_for_se,xg_for_ci_low,xg_for_ci_high,xg_against_se,xg_against_ci_low,xg_against_ci_high,own_goals_for_se,own_goals_for_ci_low,own_goals_for_ci_high,own_goals_against_se,own_goals_against_ci_low,own_goals_against_ci_high,gf_minus_xg_se,gf_minus_xg_ci_low,gf_minus_xg_ci_high,xga_minus_ga_se,xga_minus_ga_ci_low,xga_minus_ga_ci_high,goals_for_adj_se,goals_for_adj_ci_low,goals_for_adj_ci_high,goals_against_adj_se,goals_against_adj_ci_low,goals_against_adj_ci_high,gf_adj_minus_xg_se,gf_adj_minus_xg_ci_low,gf_adj_minus_xg_ci_high,xga_minus_ga_adj_se,xga_minus_ga_adj_ci_low,xga_minus_ga_adj_ci_high,goals_for_per_match_se,goals_for_per_match_ci_low,goals_for_per_match_ci_high,xg_for_per_match_se,xg_for_per_match_ci_low,xg_for_per_match_ci_high,goals_against_per_match_se,goals_against_per_match_ci_low,goals_against_per_match_ci_high,xg_against_per_match_se,xg_against_per_match_ci_low,xg_against_per_match_ci_high,gf_minus_xg_per_match_se,gf_minus_xg_per_match_ci_low,gf_minus_xg_per_match_ci_high,xga_minus_ga_per_match_se,xga_minus_ga_per_match_ci_low,xga_minus_ga_per_match_ci_high,goals_for_adj_per_match_se,goals_for_adj_per_match_ci_low,goals_for_adj_per_match_ci_high,goals_against_adj_per_match_se,goals_against_adj_per_match_ci_low,goals_against_adj_per_match_ci_high,gf_adj_minus_xg_per_match_se,gf_adj_minus_xg_per_match_ci_low,gf_adj_minus_xg_per_match_ci_high,xga_minus_ga_adj_per_match_se,xga_minus_ga_adj_per_match_ci_low,xga_minus_ga_adj_per_match_ci_high
Pep Guardiola,390.0,951.0,345.0,819.8000000000001,335.70000000000005,22.0,10.0,131.19999999999993,-9.299999999999955,929.0,335.0,109.19999999999993,0.7000000000000455,2.4384615384615387,2.102051282051282,0.8846153846153846,0.8607692307692308,0.33641025641025624,-0.02384615384615373,2.382051282051282,0.8589743589743589,0.2799999999999998,0.0017948717948719115,32.994490630345815,883.0,1014.0,19.70645965225649,309.0,386.0,18.95477114777787,782.9975000000001,856.9024999999999,13.427177439227211,310.1,363.0025,4.480277245003489,14.0,31.0,3.1600380805197847,4.0,17.0,26.478236862632617,79.18750000000004,183.71499999999997,16.13333809961901,-40.307499999999955,21.204999999999963,32.35194898768312,862.0,991.0249999999999,19.55291787173079,299.0,375.0,26.03914205286773,57.997499999999995,160.53249999999983,15.93863356619628,-30.0,30.202500000000033,0.08460125802652774,2.264102564102564,2.6,0.04860197730199453,2.0076858974358975,2.1971858974358973,0.05052938372373459,0.7923076923076923,0.9897435897435898,0.0344286601005826,0.7951282051282051,0.930775641025641,0.06789291503239132,0.2030448717948719,0.47106410256410247,0.04136753358876669,-0.10335256410256399,0.05437179487179477,0.08295371535303363,2.2102564102564104,2.541089743589743,0.05013568685059177,0.7666666666666667,0.9615384615384616,0.06676703090478905,0.14871153846153845,0.4116217948717944,0.04086829119537507,-0.07692307692307693,0.07744230769230778
Simone Inzaghi,379.0,721.0,415.0,664.8000000000001,424.9,21.0,14.0,56.19999999999993,9.899999999999977,700.0,401.0,35.19999999999993,23.899999999999977,1.9023746701846966,1.7540897097625332,1.0949868073878628,1.121108179419525,0.1482849604221634,0.026121372031662208,1.8469656992084433,1.0580474934036939,0.0928759894459101,0.06306068601583108,26.957898321103322,668.0,773.0,21.1116055510819,375.0,456.0,16.81182549541376,633.3,698.805,12.605429519226313,400.7925,450.5,4.733429378034326,12.0,31.0,3.617311497678299,7.0,22.0,22.888855057492965,10.89750000000009,101.70500000000001,16.875609693838307,-24.009999999999998,41.299999999999955,26.426693755016174,647.0,751.0,20.575018461531112,363.0,441.0,22.263590202938115,-8.0,78.70500000000001,16.389613453406277,-8.299999999999958,55.20250000000003,0.07112901931689532,1.762532981530343,2.0395778364116093,0.04435837861586744,1.670976253298153,1.8438126649076516,0.05570344472580978,0.9894459102902374,1.2031662269129288,0.033259708494000825,1.0574999999999999,1.1886543535620053,0.06039275740763315,0.02875329815303454,0.2683509234828496,0.04452667465392693,-0.06335092348284961,0.10897097625329805,0.06972742415571549,1.7071240105540897,1.9815303430079156,0.054287647655754924,0.9577836411609498,1.1635883905013193,0.058742982065799774,-0.021108179419525065,0.20766490765171508,0.04324436267389519,-0.021899736147757143,0.14565303430079163
Diego Simeone,378.0,614.0,334.0,558.0,385.8,17.0,17.0,56.0,51.80000000000001,597.0,317.0,39.0,68.80000000000001,1.6243386243386244,1.4761904761904763,0.8835978835978836,1.0206349206349206,0.14814814814814814,0.13703703703703707,1.5793650793650793,0.8386243386243386,0.10317460317460317,0.18201058201058204,25.378829489224312,564.975,663.0,19.244742341842407,298.0,374.0,15.367892039911496,528.8974999999999,588.8074999999999,12.319880261688064,362.0,409.7025,4.161991961614567,9.0,26.0,4.038968634913734,10.0,25.0,21.17678973331899,14.397500000000088,98.00249999999998,17.10618141663502,16.384999999999977,83.50250000000004,25.304364152702714,546.975,645.0,18.843426894239787,281.0,356.0,21.05386539382996,-2.007500000000001,80.60749999999987,16.853052546276707,34.877499999999976,100.70500000000001,0.06713976055350346,1.4946428571428572,1.753968253968254,0.040655799047384915,1.3991997354497354,1.5576917989417987,0.05091201677736086,0.7883597883597884,0.9894179894179894,0.032592275824571595,0.9576719576719577,1.0838690476190476,0.05602325326274865,0.03808862433862457,0.25926587301587295,0.04525444819215615,0.043346560846560786,0.22090608465608474,0.06694276230873734,1.4470238095238095,1.7063492063492063,0.04985033569904705,0.7433862433862434,0.9417989417989417,0.05569805659743376,-0.005310846560846564,0.21324735449735416,0.044584795095970124,0.09226851851851847,0.26641534391534394
Gian Piero Gasperini,364.0,717.0,431.0,648.1,409.0,12.0,15.0,68.89999999999998,-22.0,705.0,416.0,56.89999999999998,-7.0,1.9697802197802199,1.7804945054945056,1.184065934065934,1.1236263736263736,0.18928571428571422,-0.06043956043956044,1.9368131868131868,1.1428571428571428,0.15631868131868126,-0.019230769230769232,28.45379417496858,661.0,775.0,20.146092711137882,392.0,470.0,17.599159547714002,614.0975,683.405,13.41761224796418,383.1975,434.5,3.3802175500021696,6.0,19.0,3.7208977801257954,8.0,23.0,23.132867555886342,23.897499999999976,115.10749999999987,17.17643229808639,-55.90499999999998,12.299999999999956,28.086574939745198,650.975,761.0,19.52771516536919,378.0,454.0,22.923883846390456,12.09249999999991,102.80250000000005,16.89613794676932,-40.01,26.700000000000045,0.07816976421694663,1.815934065934066,2.129120879120879,0.04834933941679671,1.6870810439560437,1.8774862637362637,0.055346408547082095,1.0769230769230769,1.2912087912087913,0.0368615721097917,1.0527403846153847,1.1936813186813187,0.0635518339447427,0.06565247252747246,0.3162293956043953,0.047188000818918656,-0.15358516483516477,0.03379120879120867,0.07716092016413516,1.7883928571428573,2.090659340659341,0.053647569135629646,1.0384615384615385,1.2472527472527473,0.06297770287469905,0.0332211538461536,0.28242445054945065,0.0464179613922234,-0.10991758241758241,0.07335164835164848
Unai Emery,359.0,683.0,409.0,595.2,441.5,28.0,13.0,87.79999999999995,32.5,655.0,396.0,59.799999999999955,45.5,1.9025069637883008,1.6579387186629528,1.139275766016713,1.2298050139275767,0.24456824512534805,0.0905292479108635,1.8245125348189415,1.1030640668523677,0.16657381615598874,0.12674094707520892,27.399474111573664,628.0,734.0,20.662417858418163,370.0,450.02499999999986,17.834148603331275,559.695,629.8025,14.407981331905255,413.9,469.70500000000004,5.323170843013772,18.0,39.0,3.6405797148709937,6.975000000000001,21.0,20.770513221565896,45.19500000000004,128.79999999999995,16.463367241483862,0.0975000000000223,64.3025,26.85415268647019,603.0,707.0,20.17636465261514,358.0,437.0,20.300499233074444,19.200000000000042,99.89999999999986,16.16789363491098,13.5,76.10249999999995,0.07632165490689044,1.7493036211699164,2.0445682451253484,0.04967729415969714,1.559038997214485,1.7543245125348192,0.057555481499772056,1.0306406685236769,1.2535515320334258,0.04013365273511213,1.152924791086351,1.3083704735376045,0.057856582789877146,0.12589136490250707,0.3587743732590528,0.04585896167544251,0.00027158774373265267,0.17911559888579384,0.07480265372275818,1.6796657381615598,1.9693593314763231,0.05620157284851014,0.9972144846796658,1.2172701949860725,0.056547351624162794,0.053481894150417944,0.2782729805013924,0.04503591541757932,0.037604456824512536,0.21198467966573803
Jürgen Klopp,341.0,754.0,333.0,688.3999999999999,358.6,24.0,9.0,65.60000000000014,25.600000000000023,730.0,324.0,41.600000000000136,34.60000000000002,2.2111436950146626,2.0187683284457476,0.9765395894428153,1.0516129032258066,0.19237536656891535,0.07507331378299127,2.1407624633431084,0.9501466275659824,0.1219941348973611,0.1014662756598241,28.123643387881028,701.0,810.0249999999999,21.268586610026396,291.0,375.0,17.80116244152709,653.3,723.8024999999999,12.904429674732436,334.8975,384.60249999999996,4.939597105005618,15.0,35.0,2.971784901831116,4.0,16.0,23.838928573559418,21.09749999999991,114.10499999999999,16.658713739338484,-6.402499999999978,58.5,28.150687640043603,677.975,786.0249999999999,20.805014637510677,282.0,365.0,23.594622596796132,-1.5075000000000012,88.80250000000005,16.306957530742967,3.4875000000000007,66.40249999999996,0.08247402753044299,2.0557184750733137,2.375439882697947,0.05220282240917035,1.9158357771260996,2.1225879765395894,0.06237122173028267,0.8533724340175953,1.099706744868035,0.03784290227194262,0.9821041055718475,1.1278665689149558,0.06990888144738831,0.0618695014662754,0.3346187683284457,0.04885253295993689,-0.018775659824046855,0.17155425219941348,0.08255333618781116,1.9881964809384165,2.3050586510263926,0.061011773130529835,0.8269794721407625,1.0703812316715542,0.06919244163283324,-0.004420821114369505,0.26041788856305,0.047820989826225714,0.010227272727272729,0.19472873900293244
Carlo Ancelotti,341.0,645.0,349.0,604.1999999999999,402.70000000000005,11.0,8.0,40.80000000000007,53.700000000000045,634.0,341.0,29.800000000000068,61.700000000000045,1.8914956011730206,1.7718475073313782,1.0234604105571847,1.1809384164222876,0.11964809384164243,0.15747800586510277,1.8592375366568914,1.0,0.0873900293255134,0.18093841642228753,24.89526555137416,595.0,693.0,19.105344437958887,311.0,385.0,16.839447090957723,571.6925,637.5174999999999,12.984906443161957,377.19750000000005,428.4,3.6086120310162464,5.0,19.0,2.8012817762222526,3.0,14.0,21.53807225050873,-1.9125000000000874,82.30499999999992,16.061281643256617,21.69499999999999,86.30749999999992,24.788889033390642,584.975,682.0,19.109109085067587,304.0,377.0,21.319716062520467,-12.700000000000045,71.39999999999998,16.0585663998194,30.39749999999998,94.8025,0.07300664384567203,1.7448680351906158,2.032258064516129,0.04938254278873232,1.676517595307918,1.8695527859237533,0.056027403043867684,0.9120234604105572,1.1290322580645162,0.03807890452540163,1.106151026392962,1.2563049853372434,0.06316150220090536,-0.005608504398827235,0.24136363636363617,0.04710053267817191,0.06362170087976536,0.2531011730205276,0.0726946892474799,1.7154692082111438,2.0,0.05603844306471431,0.8914956011730205,1.1055718475073313,0.06252116147366707,-0.03724340175953093,0.20938416422287384,0.04709257008744693,0.08914222873900288,0.27801319648093836
Imanol Alguacil,302.0,391.0,322.0,416.70000000000005,323.7,15.0,7.0,-25.700000000000045,1.6999999999999886,376.0,315.0,-40.700000000000045,8.699999999999989,1.294701986754967,1.3798013245033114,1.0662251655629138,1.0718543046357616,-0.08509933774834452,0.005629139072847645,1.2450331125827814,1.0430463576158941,-0.13476821192052996,0.02880794701986751,19.84666755040826,352.0,431.0,19.586085836102875,287.0,362.0,14.334670751460472,389.3,445.29999999999995,12.5688731605607,299.1975,348.9025,4.099503715738977,7.0,23.0,2.578216942249168,3.0,12.0,16.37510636191967,-57.299999999999955,6.099999999999912,14.870471892551143,-28.505000000000003,28.907499999999935,19.435247346501917,338.0,414.0,19.45936323235435,279.0,355.0,15.732047540606718,-72.10249999999996,-10.197500000000057,14.791661355737949,-21.099999999999966,36.00249999999998,0.0657174422198949,1.1655629139072847,1.4271523178807948,0.047465797190266466,1.2890728476821192,1.474503311258278,0.0648545888612678,0.9503311258278145,1.1986754966887416,0.04161878529986987,0.9907201986754967,1.1553062913907284,0.054222206496422745,-0.18973509933774818,0.02019867549668845,0.04923997315414286,-0.09438741721854305,0.09572019867549647,0.06435512366391365,1.119205298013245,1.3708609271523178,0.06443497759057731,0.9238410596026491,1.1754966887417218,0.05209287265101562,-0.2387499999999999,-0.03376655629139092,0.04897901111171506,-0.06986754966887405,0.11921357615894035
Stefano Pioli,292.0,495.0,335.0,465.5,331.8,17.0,8.0,29.5,-3.1999999999999886,478.0,327.0,12.5,4.800000000000011,1.6952054794520548,1.5941780821917808,1.1472602739726028,1.1363013698630138,0.10102739726027397,-0.010958904109589003,1.6369863013698631,1.11986301369863,0.04280821917808219,0.0164383561643836,21.926053581591727,451.975,540.0,18.82843995331365,299.0,373.0,13.215822304233988,440.79999999999995,492.105,11.263684037052142,309.19250000000005,353.9,3.9787021797965423,10.0,25.0,2.7999998213392354,3.0,14.0,16.959488277032694,-3.4050000000000336,62.214999999999904,15.501315343743999,-33.10250000000002,26.60250000000001,22.272019782287177,434.0,522.0,18.602175664952068,292.0,363.02499999999986,17.49537272340505,-21.907500000000034,46.5,15.340681313066723,-24.002499999999998,34.60000000000002,0.07508922459449222,1.5478595890410958,1.8493150684931507,0.04525966542545887,1.5095890410958903,1.6852910958904108,0.06448095874422483,1.023972602739726,1.2773972602739727,0.0385742604008635,1.0588784246575345,1.2119863013698629,0.058080439304906493,-0.011660958904109705,0.21306506849315035,0.05308669638268492,-0.11336472602739733,0.09110445205479456,0.07627404035029854,1.4863013698630136,1.7876712328767124,0.06370608104435639,1.0,1.2432363013698626,0.05991566001166113,-0.07502568493150696,0.15924657534246575,0.0525365798392696,-0.08220034246575342,0.11849315068493159
Manuel Pellegrini,288.0,399.0,364.0,384.29999999999995,388.79999999999995,11.0,13.0,14.700000000000045,24.799999999999955,388.0,351.0,3.7000000000000455,37.799999999999955,1.3854166666666667,1.3343749999999999,1.2638888888888888,1.3499999999999999,0.051041666666666825,0.08611111111111096,1.3472222222222223,1.21875,0.01284722222222238,0.13124999999999984,19.278976093392636,361.975,437.0,19.65486190611051,327.0,403.02499999999986,12.578398270508282,359.395,408.4025,13.271349720420334,362.6,415.59999999999997,3.3001974791973963,5.0,18.0,3.551092948736386,6.0,21.0,15.270774637490218,-14.30750000000001,44.40499999999995,15.97907913100556,-6.102500000000021,56.30749999999991,19.201896453572154,351.0,426.0,18.929201015244615,314.975,388.02499999999986,15.216465634739448,-25.202499999999986,33.60000000000002,15.617598390269226,7.695000000000045,68.6025,0.06694088921316887,1.2568576388888888,1.5173611111111112,0.04367499399482043,1.2478993055555554,1.4180642361111109,0.06824604828510594,1.1354166666666667,1.3993923611111108,0.046081075418126165,1.2590277777777779,1.4430555555555555,0.053023523046841034,-0.04967881944444448,0.1541840277777776,0.055482913649324866,-0.021189236111111186,0.19551215277777748,0.06667325157490331,1.21875,1.4791666666666667,0.06572639241404381,1.0936631944444444,1.3473090277777775,0.052834950120623086,-0.08750868055555552,0.11666666666666675,0.05422777218843481,0.026718750000000156,0.23820312500000002
