manager,matches,goals_for,goals_against,xg_for,xg_against,own_goals_for,own_goals_against,gf_minus_xg,xga_minus_ga,goals_for_adj,goals_against_adj,gf_adj_minus_xg,xga_minus_ga_adj,goals_for_per_match,xg_for_per_match,goals_against_per_match,xg_against_per_match,gf_minus_xg_per_match,xga_minus_ga_per_match,goals_for_adj_per_match,goals_against_adj_per_match,gf_adj_minus_xg_per_match,xga_minus_ga_adj_per_match,goals_for_se,goals_for_ci_low,goals_for_ci_high,goals_against_se,goals_against_ci_low,goals_against_ci_high,xg_for_se,xg_for_ci_low,xg_for_ci_high,xg_against_se,xg_against_ci_low,xg_against_ci_high,own_goals_for_se,own_goals_for_ci_low,own_goals_for_ci_high,own_goals_against_se,own_goals_against_ci_low,own_goals_against_ci_high,gf_minus_xg_se,gf_minus_xg_ci_low,gf_minus_xg_ci_high,xga_minus_ga_se,xga_minus_ga_ci_low,xga_minus_ga_ci_high,goals_for_adj_se,goals_for_adj_ci_low,goals_for_adj_ci_high,goals_against_adj_se,goals_against_adj_ci_low,goals_against_adj_ci_high,gf_adj_minus_xg_se,gf_adj_minus_xg_ci_low,gf_adj_minus_xg_ci_high,xga_minus_ga_adj_se,xga_minus_ga_adj_ci_low,xga_minus_ga_adj_ci_high,goals_for_per_match_se,goals_for_per_match_ci_low,goals_for_per_match_ci_high,xg_for_per_match_se,xg_for_per_match_ci_low,xg_for_per_match_ci_high,goals_against_per_match_se,goals_against_per_match_ci_low,goals_against_per_match_ci_high,xg_against_per_match_se,xg_against_per_match_ci_low,xg_against_per_match_ci_high,gf_minus_xg_per_match_se,gf_minus_xg_per_match_ci_low,gf_minus_xg_per_match_ci_high,xga_minus_ga_per_match_se,xga_minus_ga_per_match_ci_low,xga_minus_ga_per_match_ci_high,goals_for_adj_per_match_se,goals_for_adj_per_match_ci_low,goals_for_adj_per_match_ci_high,goals_against_adj_per_match_se,goals_against_adj_per_match_ci_low,goals_against_adj_per_match_ci_high,gf_adj_minus_xg_per_match_se,gf_adj_minus_xg_per_match_ci_low,gf_adj_minus_xg_per_match_ci_high,xga_minus_ga_adj_per_match_se,xga_minus_ga_adj_per_match_ci_low,xga_minus_ga_adj_per_match_ci_high
Gian Piero Gasperini,304.0,603.0,355.0,536.8,327.0,12.0,14.0,66.20000000000005,-28.0,591.0,341.0,54.200000000000045,-14.0,1.9835526315789473,1.7657894736842104,1.167763157894737,1.075657894736842,0.217763157894737,-0.09210526315789473,1.944078947368421,1.1217105263157894,0.17828947368421066,-0.046052631578947366,27.52763857367212,550.0,656.0249999999999,17.287418464553472,320.975,389.0,16.31411797493662,505.30000000000007,570.1025,10.848069219930348,305.7975,348.30500000000006,3.4239283933548332,6.0,19.0,3.695346471275919,7.0,22.0,22.00852943204931,22.49,109.20250000000003,15.446780273180039,-59.10000000000002,1.69999999999999,27.08118386000933,538.0,644.0,16.46696388074392,309.0,373.0,21.791358078856867,11.0,96.6025,15.007829052329054,-43.207500000000046,14.409999999999922,0.09055144267655303,1.8092105263157894,2.1579769736842103,0.05366486175965993,1.6621710526315792,1.8753371710526316,0.05686650810708379,1.0558388157894738,1.2796052631578947,0.035684438223455094,1.0059128289473684,1.1457401315789475,0.07239647839489904,0.07398026315789473,0.35921875000000014,0.05081177721440802,-0.19440789473684217,0.005592105263157862,0.08908284164476753,1.769736842105263,2.1184210526315788,0.05416764434455237,1.0164473684210527,1.2269736842105263,0.07168209894360812,0.03618421052631579,0.3177713815789474,0.04936785872476663,-0.14212993421052644,0.04740131578947343
Diego Simeone,304.0,504.0,252.0,450.09999999999997,294.0,13.0,13.0,53.900000000000034,42.0,491.0,239.0,40.900000000000034,55.0,1.6578947368421053,1.4805921052631579,0.8289473684210527,0.9671052631578947,0.1773026315789475,0.13815789473684212,1.6151315789473684,0.7861842105263158,0.13453947368421063,0.18092105263157895,22.71428714312228,462.0,553.0,16.172681149326444,221.0,284.0,13.892504245621351,423.0,477.29999999999995,9.803410895836013,274.7975,313.60749999999996,3.4851672765410755,7.0,20.0,3.527398513087948,7.0,20.0,18.835307533524407,17.995,92.60000000000002,15.089222956624287,12.897499999999978,70.80499999999998,22.58727190645404,449.0,538.0,15.839702264686572,209.0,270.0,18.702246570690257,4.0925000000000225,78.61249999999995,14.772796094924994,26.19749999999999,82.60749999999999,0.07471804981290224,1.519736842105263,1.819078947368421,0.04569902712375445,1.3914473684210527,1.570065789473684,0.05319960904383698,0.7269736842105263,0.9342105263157895,0.0322480621573553,0.9039391447368422,1.0316036184210526,0.06195824846554081,0.059194078947368424,0.3046052631578948,0.049635601831000936,0.04242598684210519,0.23291118421052626,0.0743002365343883,1.4769736842105263,1.769736842105263,0.05210428376541636,0.6875,0.8881578947368421,0.06152054792990216,0.013462171052631654,0.25859374999999984,0.04859472399646379,0.08617598684210523,0.271735197368421
Pep Guardiola,303.0,745.0,253.0,635.3,254.8,18.0,8.0,109.70000000000005,1.8000000000000114,727.0,245.0,91.70000000000005,9.800000000000011,2.458745874587459,2.0966996699669966,0.834983498349835,0.8409240924092409,0.3620462046204622,0.005940594059405978,2.3993399339933994,0.8085808580858086,0.3026402640264028,0.032343234323432384,27.22275340871264,695.0,801.0,17.2466376724712,221.0,287.0,15.883055252676664,604.0975,667.0024999999999,11.304924553356317,233.5,277.40000000000003,4.19121735316253,10.0,27.0,2.816445664856957,3.0,14.0,21.820605785723,67.59750000000003,153.80250000000007,15.15461490021726,-29.002499999999998,31.40499999999995,26.631463256223526,677.0,781.0249999999999,17.13342887289264,213.0,280.0,21.474365511571285,49.995,136.1024999999999,14.805760394790063,-19.01,38.105,0.08984407065581729,2.293729372937294,2.6435643564356437,0.052419324266259615,1.9937211221122113,2.2013283828382835,0.05691959627878283,0.7293729372937293,0.9471947194719472,0.03730998202427827,0.7706270627062707,0.9155115511551156,0.0720152006129472,0.22309405940594065,0.5075990099009903,0.05001523069378633,-0.09571782178217822,0.10364686468646848,0.08789261800733837,2.2343234323432344,2.5776402640264022,0.05654596987753347,0.7029702970297029,0.9240924092409241,0.07087249343752901,0.165,0.44918316831683136,0.04886389569237644,-0.06273927392739273,0.12575907590759075
Simone Inzaghi,301.0,603.0,321.0,540.6,329.40000000000003,18.0,11.0,62.39999999999998,8.400000000000034,585.0,310.0,44.39999999999998,19.400000000000034,2.0033222591362128,1.796013289036545,1.0664451827242525,1.0943521594684387,0.2073089700996677,0.02790697674418616,1.9435215946843853,1.0299003322259137,0.14750830564784045,0.06445182724252503,24.030744356702073,557.0,651.0,18.07706696134532,287.0,356.02499999999986,14.478402932410628,511.9,568.6025,10.60762784328951,309.0975,350.1025,4.3488811645861105,10.0,27.0,3.2475751526617658,5.0,18.0,20.258059054999272,23.497500000000002,103.9249999999999,14.800141528787353,-20.5,36.700000000000045,23.68364060730968,539.0,632.0,17.84023067859081,276.0,345.0,19.79873851842487,6.0,85.50999999999995,14.48894616105426,-9.202499999999988,47.89999999999998,0.07983635998904344,1.850498338870432,2.1627906976744184,0.04810100641996887,1.7006644518272425,1.8890448504983388,0.06005670086825687,0.9534883720930233,1.1828073089700992,0.03524128851591199,1.0269019933554817,1.1631312292358804,0.06730252177740621,0.07806478405315616,0.34526578073089664,0.04916990541125367,-0.0681063122923588,0.12192691029900347,0.0786831913864109,1.7906976744186047,2.0996677740863787,0.05926986936408906,0.9169435215946844,1.1461794019933556,0.06577653992832182,0.019933554817275746,0.28408637873754133,0.04813603375765535,-0.030573089700996637,0.15913621262458463
Unai Emery,277.0,510.0,325.0,454.4,351.2,24.0,11.0,55.60000000000002,26.19999999999999,486.0,314.0,31.600000000000023,37.19999999999999,1.8411552346570397,1.6404332129963899,1.1732851985559567,1.267870036101083,0.2007220216606499,0.09458483754512631,1.7545126353790614,1.1335740072202165,0.11407942238267156,0.1342960288808664,23.949545431243195,463.975,557.0249999999999,18.19371387628997,291.0,362.0,15.509158413493862,423.8,484.50749999999994,13.287129787372937,325.19499999999994,377.69999999999993,5.098719664887506,14.0,34.0,3.2270228676435107,5.0,18.0,18.613246932714052,21.092500000000022,93.00249999999998,14.309788132453178,-3.0,53.89999999999998,23.549977929506433,440.0,533.0,17.659250106025272,280.975,349.02499999999986,18.28505604406963,-3.3049999999999553,67.31249999999989,14.018426734892927,9.0,63.80249999999994,0.08646045282037253,1.675,2.0109205776173282,0.05598974156495979,1.5299638989169675,1.749124548736462,0.06568127753173274,1.0505415162454874,1.3068592057761732,0.04796797757174345,1.1739891696750901,1.363537906137184,0.0671958373022168,0.07614620938628167,0.33574909747292414,0.05165988495470462,-0.010830324909747292,0.19458483754512626,0.08501797086464416,1.5884476534296028,1.924187725631769,0.06375180543691435,1.0143501805054151,1.2600180505415157,0.06601103265007088,-0.011931407942238107,0.24300541516245447,0.05060803875412609,0.032490974729241874,0.23033393501805033
Pepe Bordalás,273.0,290.0,298.0,300.6,319.4,7.0,10.0,-10.600000000000023,21.399999999999977,283.0,288.0,-17.600000000000023,31.399999999999977,1.0622710622710623,1.1010989010989012,1.0915750915750915,1.1699633699633698,-0.03882783882783891,0.0783882783882783,1.0366300366300367,1.054945054945055,-0.06446886446886456,0.11501831501831493,18.035058709949787,256.0,327.0,17.161374774244372,264.0,332.0,11.320614408802925,278.79749999999996,322.7,11.689871280098538,297.3,342.70500000000004,2.598417766149955,2.0,12.0,3.166076913391517,4.0,17.0,16.09789679051394,-41.30000000000001,20.705000000000016,13.767595181749943,-5.399999999999977,47.80250000000005,17.513001702001493,250.0,320.0,17.11772730370542,253.975,322.0,15.638234447207042,-47.30750000000001,13.202499999999974,13.79883414139872,4.400000000000032,58.40249999999996,0.0660624861170322,0.9377289377289377,1.1978021978021978,0.04146745204689716,1.0212362637362637,1.182051282051282,0.06286217866023579,0.967032967032967,1.216117216117216,0.04282004131904227,1.0890109890109891,1.2553296703296704,0.058966654910307476,-0.15128205128205133,0.0758424908424909,0.05043075158150163,-0.019780219780219696,0.17510073260073278,0.06415018938462086,0.9157509157509157,1.1721611721611722,0.06270229781577077,0.9303113553113553,1.1794871794871795,0.05728291006302945,-0.17328754578754585,0.04836080586080577,0.050545180005123515,0.016117216117216237,0.21392857142857127
Carlo Ancelotti,269.0,503.0,266.0,467.9,299.59999999999997,7.0,6.0,35.10000000000002,33.599999999999966,496.0,260.0,28.100000000000023,39.599999999999966,1.8698884758364311,1.7394052044609665,0.9888475836431226,1.1137546468401485,0.13048327137546478,0.1249070631970259,1.8438661710037174,0.966542750929368,0.10446096654275101,0.14721189591078054,22.690365407837106,459.0,547.0,17.407110005379113,232.0,300.0,14.475669763608607,440.7,497.105,11.221248031355094,278.09749999999997,322.0025,2.899241763185799,2.0,13.0,2.489877405565859,2.0,11.0,19.343213428755192,-3.602500000000023,72.30500000000004,14.322193452475954,4.19749999999999,61.90499999999995,22.856384297424995,450.975,541.0249999999999,17.248565629006055,226.975,294.0,19.53302714307708,-10.602500000000024,65.6025,14.192246764047114,10.300000000000065,67.60499999999999,0.08435080077262863,1.7063197026022305,2.033457249070632,0.053812898749474376,1.6382899628252787,1.8479739776951674,0.06471044611665099,0.862453531598513,1.1152416356877324,0.041714676696487346,1.0338197026022304,1.1970353159851301,0.07190785661247283,-0.01339219330855027,0.2687918215613384,0.05324235484191804,0.015604089219330817,0.23013011152416338,0.08496797136589217,1.6764869888475835,2.011245353159851,0.06412106181786638,0.8437732342007436,1.0929368029739777,0.07261348380326053,-0.03941449814126403,0.2438754646840149,0.05275928165073277,0.03828996282527905,0.25131970260223047
Jürgen Klopp,266.0,581.0,249.0,530.9,273.5,20.0,6.0,50.10000000000002,24.5,561.0,243.0,30.100000000000023,30.5,2.1842105263157894,1.9958646616541353,0.9360902255639098,1.0281954887218046,0.18834586466165423,0.09210526315789473,2.1090225563909772,0.9135338345864662,0.1131578947368422,0.11466165413533834,24.301108265498215,535.0,629.0249999999999,17.982176601781802,214.0,286.02499999999986,15.144058208651124,501.995,561.7,11.170506653659436,252.1,294.805,4.467518703002914,12.0,29.0,2.4292567575695037,2.0,11.0,20.90242580610657,9.495000000000003,90.40749999999994,14.34841311328311,-4.402499999999978,51.004999999999974,23.84958348307488,516.975,608.0249999999999,17.63732364455195,209.0,279.02499999999986,20.368179915103536,-8.502500000000001,69.40999999999998,14.11985499190754,2.095000000000022,56.400000000000034,0.09135754987029406,2.011278195488722,2.3647556390977438,0.056932549656583176,1.8871992481203008,2.111654135338346,0.06760216767587143,0.8045112781954887,1.0752819548872177,0.041994385916012913,0.9477443609022557,1.1082894736842106,0.07858054814325778,0.035695488721804516,0.339877819548872,0.053941402681515455,-0.016550751879699163,0.19174812030075178,0.0896600882822364,1.943515037593985,2.285808270676691,0.06630572798703742,0.7857142857142857,1.0489661654135334,0.07657210494399826,-0.031964285714285716,0.26093984962406,0.05308216162371256,0.007875939849624142,0.21203007518797004
Imanol Alguacil,258.0,334.0,276.0,344.59999999999997,279.29999999999995,15.0,7.0,-10.599999999999966,3.2999999999999545,319.0,269.0,-25.599999999999966,10.299999999999955,1.2945736434108528,1.3356589147286821,1.069767441860465,1.0825581395348836,-0.041085271317829325,0.012790697674418428,1.2364341085271318,1.0426356589147288,-0.09922480620155026,0.03992248062015486,18.055796988846858,299.975,369.0,17.95562697373751,241.0,311.0,12.388445809898526,320.0975,368.305,10.838525010452349,257.20000000000005,300.50249999999994,3.9689787598572632,7.0,23.0,2.6211469256039046,2.0,13.0,14.768758990214971,-40.202499999999986,17.80000000000001,14.606164303397003,-24.904999999999976,31.202499999999976,17.64537193077232,283.975,354.0,17.75471499918687,235.0,304.0,14.157889224868649,-54.10000000000002,1.7149999999999628,14.48349091187954,-17.714999999999932,37.90249999999999,0.06998370925909635,1.1626937984496124,1.430232558139535,0.048017231821312116,1.240687984496124,1.4275387596899223,0.06959545338657949,0.9341085271317829,1.2054263565891472,0.04200978686221841,0.9968992248062017,1.164738372093023,0.05724325190005803,-0.15582364341085267,0.06899224806201555,0.05661303993564731,-0.09653100775193789,0.12093992248062005,0.06839291446035782,1.1006782945736433,1.372093023255814,0.06881672480304987,0.9108527131782945,1.178294573643411,0.05487553963127384,-0.20968992248062024,0.006647286821705282,0.0561375616739517,-0.06866279069767416,0.14690891472868214
Sean Dyche,257.0,256.0,361.0,288.6,376.6,11.0,11.0,-32.60000000000002,15.600000000000023,245.0,350.0,-43.60000000000002,26.600000000000023,0.9961089494163424,1.1229571984435798,1.404669260700389,1.4653696498054476,-0.12684824902723743,0.060700389105058455,0.953307392996109,1.3618677042801557,-0.1696498054474709,0.10350194552529192,15.788167218270017,225.0,287.0,20.952389178949332,321.975,403.02499999999986,10.576885914829923,268.20000000000005,309.6,11.581856936391826,353.9975,399.3025,3.610557029189612,5.0,19.0,3.182594610412566,5.0,17.0,15.312381827008757,-62.11000000000002,-2.187500000000058,17.23839516671903,-18.60500000000002,50.20500000000002,15.213455742131993,215.0,274.0,20.921148300777173,310.0,391.0,14.71552565983365,-73.29999999999995,-14.800000000000011,16.973757386327428,-6.299999999999957,59.8099999999999,0.06143255726953314,0.8754863813229572,1.1167315175097277,0.041155198112178694,1.043579766536965,1.2046692607003893,0.08152680614377172,1.2528210116731517,1.5681906614785988,0.0450655911921861,1.3774221789883268,1.5537062256809338,0.05958125224517027,-0.24167315175097284,-0.0085116731517512,0.06707546757478221,-0.0723929961089495,0.19535019455252925,0.05919632584487156,0.8365758754863813,1.066147859922179,0.08140524630652596,1.206225680933852,1.5214007782101167,0.05725885470752393,-0.285214007782101,-0.05758754863813234,0.06604574858493162,-0.024513618677042635,0.23272373540855992
