Team,Pot,Start Elo,End Elo,Elo Change
Arsenal,2,2000,2048,48
Bayern München,1,1932,1979,47
Sporting CP,3,1796,1836,40
Qarabag FK,4,1524,1561,37
Atletico Madrid,2,1840,1874,34
Borussia Dortmund,1,1824,1850,26
Pafos FC,4,1525,1549,24
Bodø/Glimt,3,1658,1677,19
Marseille,3,1749,1765,16
Olympiacos,3,1692,1707,15
Manchester City,1,1945,1956,11
Newcastle United,4,1865,1872,7
Inter,1,1913,1916,3
PSV Eindhoven,3,1790,1791,1
Tottenham Hotspur,3,1807,1806,-1
Galatasaray,4,1714,1713,-1
Slavia Prague,3,1681,1677,-4
Juventus,2,1826,1822,-4
Kairat Almaty,4,1302,1295,-7
Chelsea,1,1913,1906,-7
Barcelona,1,1952,1943,-9
Benfica,2,1813,1804,-9
Real Madrid,1,1947,1930,-17
Paris Saint-Germain,1,1981,1957,-24
Club Brugge,2,1738,1710,-28
Bayer Leverkusen,2,1840,1805,-35
Union St.Gilloise,4,1735,1699,-36
Atalanta,2,1834,1797,-37
Villarreal,2,1787,1747,-40
FC København,4,1653,1601,-52
Napoli,3,1856,1803,-53
Ajax,3,1666,1611,-55
Eintracht Frankfurt,2,1756,1689,-67
Liverpool,1,2013,1939,-74
Athletic Club,4,1792,1705,-87
Monaco,4,1768,1672,-96
