team,total_exp_pts_p50
Pafos FC,12.8
Olympiacos,12.5
Villarreal,12.4
Real Madrid,12.3
Chelsea,12.3
Tottenham Hotspur,12.2
FC København,12.2
Juventus,12.1
Arsenal,12
Napoli,12
Ajax,11.9
Monaco,11.8
Barcelona,11.7
Qarabag FK,11.7
Kairat Almaty,11.7
Inter,11.7
Atalanta,11.6
Sporting CP,11.4
Benfica,11.4
Liverpool,11.3
Galatasaray,11.3
Borussia Dortmund,11.3
Manchester City,11.1
Eintracht Frankfurt,11
Club Brugge,11
Marseille,10.9
Bayer Leverkusen,10.9
Bodø/Glimt,10.9
Slavia Prague,10.8
Bayern München,10.8
Atletico Madrid,10.4
Athletic Club,10.3
Newcastle United,10.3
Union St.Gilloise,10
PSV Eindhoven,10
Paris Saint-Germain,9.6
