Team,Season,Avg. Opponent Elo
Paris Saint-Germain,2025/2026,1858
Union St.Gilloise,2025/2026,1843
PSV Eindhoven,2025/2026,1843
Sparta Prague,2024/2025,1841
Atletico Madrid,2025/2026,1833
Liverpool,2024/2025,1829
Newcastle United,2025/2026,1829
Lille,2024/2025,1826
Athletic Club,2025/2026,1824
Bayern München,2025/2026,1817
Juventus,2024/2025,1816
Paris Saint-Germain,2024/2025,1815
RB Leipzig,2024/2025,1812
Slavia Prague,2025/2026,1808
Bayer Leverkusen,2025/2026,1808
Bodø/Glimt,2025/2026,1807
Eintracht Frankfurt,2025/2026,1804
Club Brugge,2024/2025,1804
Marseille,2025/2026,1804
Real Madrid,2024/2025,1800
Club Brugge,2025/2026,1799
Sporting CP,2024/2025,1798
Feyenoord,2024/2025,1798
Benfica,2024/2025,1798
Manchester City,2025/2026,1797
Monaco,2024/2025,1795
FK Crvena Zvezda,2024/2025,1792
Borussia Dortmund,2025/2026,1792
Galatasaray,2025/2026,1792
Slovan Bratislava,2024/2025,1791
Salzburg,2024/2025,1790
Shakhtar Donetsk,2024/2025,1789
Bologna,2024/2025,1788
Liverpool,2025/2026,1786
Bayer Leverkusen,2024/2025,1783
Girona,2024/2025,1783
Sturm Graz,2024/2025,1783
Benfica,2025/2026,1782
Atalanta,2025/2026,1781
Manchester City,2024/2025,1779
Kairat Almaty,2025/2026,1778
Arsenal,2024/2025,1777
Inter,2024/2025,1776
PSV Eindhoven,2024/2025,1775
Barcelona,2025/2026,1773
Monaco,2025/2026,1772
Qarabag FK,2025/2026,1772
Young Boys,2024/2025,1771
Sporting CP,2025/2026,1770
Ajax,2025/2026,1767
Dinamo Zagreb,2024/2025,1766
Brest,2024/2025,1766
Napoli,2025/2026,1762
Inter,2025/2026,1758
Juventus,2025/2026,1757
Tottenham Hotspur,2025/2026,1755
Barcelona,2024/2025,1753
Aston Villa,2024/2025,1750
Chelsea,2025/2026,1747
Real Madrid,2025/2026,1746
Arsenal,2025/2026,1744
Villarreal,2025/2026,1744
Olympiacos,2025/2026,1742
FC København,2025/2026,1740
Atalanta,2024/2025,1739
Atletico Madrid,2024/2025,1735
VfB Stuttgart,2024/2025,1731
Pafos FC,2025/2026,1725
Milan,2024/2025,1722
Borussia Dortmund,2024/2025,1717
Bayern München,2024/2025,1706
Celtic,2024/2025,1695
