season,team,ref_elo_p10,ref_elo_p50,ref_elo_p90,n_used_p10,n_used_p50,n_used_p90,n_ok_p10,n_ok_p50,n_ok_p90,n_bad_p10,n_bad_p50,n_bad_p90,total_exp_pts_p10,total_exp_pts_p50,total_exp_pts_p90,mean_exp_pts_p10,mean_exp_pts_p50,mean_exp_pts_p90,n_sched
2024/2025,Celtic,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,8.370668565166755,13.289315722142254,16.42332264749927,1.046333570645844,1.6611644652677817,2.0529153309374086,8
2024/2025,Bayern München,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,8.004064356751138,12.97905884586233,16.252511190715317,1.0005080445938923,1.6223823557327912,2.031563898839415,8
2024/2025,Borussia Dortmund,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,7.84384762970458,12.902999355308456,16.24982023193047,0.9804809537130725,1.6128749194135568,2.0312275289913093,8
2024/2025,Milan,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,7.8631789264808205,12.900461910579525,16.14916002887318,0.9828973658101026,1.6125577388224408,2.018645003609148,8
2024/2025,VfB Stuttgart,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,7.621471997994839,12.547416327699988,15.832686200435864,0.952683999749355,1.5684270409624985,1.979085775054483,8
2024/2025,Atalanta,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,7.235041188517203,12.34196635083447,15.804929333962438,0.9043801485646503,1.5427457938543088,1.9756161667453047,8
2024/2025,Atletico Madrid,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,7.271296757244038,12.331316657360787,15.721326311827042,0.9089120946555048,1.5414145821700984,1.9651657889783802,8
2024/2025,Aston Villa,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.668759920374468,12.077121310381141,15.775962717157231,0.8335949900468084,1.5096401637976427,1.9719953396446541,8
2024/2025,Barcelona,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.819396618483963,11.925514980971808,15.515143793769171,0.8524245773104953,1.490689372621476,1.9393929742211466,8
2024/2025,Dinamo Zagreb,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.716629173393668,11.824145826743061,15.260078894686838,0.8395786466742085,1.4780182283428827,1.9075098618358548,8
2024/2025,Brest,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.522195362011753,11.704925382146401,15.29268243671172,0.8152744202514691,1.4631156727683,1.911585304588965,8
2024/2025,Inter,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.7270431793141405,11.621310561049373,14.967174585507859,0.8408803974142677,1.4526638201311715,1.8708968231884822,8
