season,team,pot,n,mean_opp_elo,mean_opp_elo_start,mean_opp_elo_final,start_date,elo_start,final_date,elo_final
2024/2025,Bayern München,1,8,1706.32,1710.85,1707.53,2024-09-17,1912.72,2025-01-31,1888.25
2024/2025,FK Crvena Zvezda,3,8,1792.33,1797.78,1782.56,2024-09-17,1568.21,2025-01-31,1615.02
2024/2025,Sporting CP,3,8,1798.22,1813.82,1799.53,2024-09-17,1838.47,2025-01-31,1817.87
2024/2025,Arsenal,2,8,1777.18,1785.04,1774.48,2024-09-17,1955.55,2025-01-31,1990.55
2024/2025,Bologna,4,8,1787.60,1783.73,1785.37,2024-09-17,1763.90,2025-01-31,1779.28
2024/2025,Barcelona,1,8,1752.68,1749.65,1733.31,2024-09-17,1910.21,2025-01-31,1895.48
2024/2025,Sturm Graz,4,8,1782.52,1797.03,1767.30,2024-09-17,1606.42,2025-01-31,1591.77
2024/2025,Young Boys,3,8,1770.84,1765.43,1774.36,2024-09-17,1553.15,2025-01-31,1477.21
2024/2025,Salzburg,3,8,1789.64,1797.31,1779.90,2024-09-17,1674.05,2025-01-31,1549.71
2024/2025,Real Madrid,1,8,1799.62,1797.57,1780.71,2024-09-17,1993.12,2025-01-31,1964.78
2024/2025,VfB Stuttgart,4,8,1730.97,1735.91,1716.41,2024-09-17,1799.68,2025-01-31,1734.96
2024/2025,Liverpool,1,8,1829.31,1837.82,1813.12,2024-09-17,1903.09,2025-01-31,1996.88
2024/2025,Aston Villa,4,8,1750.48,1757.30,1736.81,2024-09-17,1782.06,2025-01-31,1810.13
2024/2025,Girona,4,8,1783.02,1771.57,1784.07,2024-09-17,1788.76,2025-01-31,1697.20
2024/2025,Atalanta,2,8,1739.28,1756.40,1737.50,2024-09-17,1870.24,2025-01-31,1901.91
2024/2025,Benfica,2,8,1797.52,1793.12,1797.48,2024-09-17,1761.26,2025-01-31,1775.36
2024/2025,RB Leipzig,1,8,1811.66,1802.27,1823.87,2024-09-17,1854.54,2025-01-31,1736.57
2024/2025,Borussia Dortmund,1,8,1717.12,1723.60,1720.08,2024-09-17,1874.08,2025-01-31,1759.67
2024/2025,Slovan Bratislava,4,8,1791.35,1806.59,1772.04,2024-09-17,1446.40,2025-01-31,1408.18
2024/2025,Celtic,3,8,1695.16,1707.82,1672.22,2024-09-17,1655.61,2025-01-31,1684.51
2024/2025,Manchester City,1,8,1778.91,1769.29,1757.51,2024-09-17,2061.40,2025-01-31,1947.53
2024/2025,Bayer Leverkusen,2,8,1783.37,1793.93,1782.35,2024-09-17,1924.16,2025-01-31,1899.17
2024/2025,Lille,3,8,1826.04,1814.78,1824.06,2024-09-17,1756.80,2025-01-31,1802.50
2024/2025,Inter,1,8,1775.70,1802.68,1754.91,2024-09-17,1960.04,2025-01-31,1992.16
2024/2025,Atletico Madrid,2,8,1734.77,1755.50,1712.54,2024-09-17,1843.08,2025-01-31,1862.33
2024/2025,Milan,2,8,1721.75,1738.24,1733.16,2024-09-17,1821.77,2025-01-31,1810.91
2024/2025,Juventus,2,8,1816.13,1815.96,1794.38,2024-09-17,1829.40,2025-01-31,1835.30
2024/2025,Paris Saint-Germain,1,8,1815.29,1854.34,1810.63,2024-09-17,1899.04,2025-01-31,1915.50
2024/2025,PSV Eindhoven,3,8,1774.53,1760.66,1765.96,2024-09-17,1799.48,2025-01-31,1814.54
2024/2025,Shakhtar Donetsk,2,8,1788.96,1801.25,1787.57,2024-09-17,1577.43,2025-01-31,1560.72
2024/2025,Sparta Prague,4,8,1841.36,1835.51,1802.41,2024-09-17,1727.75,2025-01-31,1613.37
2024/2025,Dinamo Zagreb,3,8,1765.84,1764.60,1731.46,2024-09-17,1569.66,2025-01-31,1550.59
2024/2025,Club Brugge,2,8,1803.83,1808.65,1782.21,2024-09-17,1712.48,2025-01-31,1733.48
2024/2025,Brest,4,8,1765.64,1776.58,1736.19,2024-09-17,1680.87,2025-01-31,1689.18
2024/2025,Feyenoord,3,8,1797.83,1825.86,1771.64,2024-09-17,1740.77,2025-01-31,1744.26
2024/2025,Monaco,4,8,1794.93,1783.86,1801.07,2024-09-17,1776.65,2025-01-31,1759.89
2025/2026,Bayern München,1,8,1817.05,1810.00,1812.06,2025-09-16,1931.82,2026-01-29,1979.09
2025/2026,Slavia Prague,3,8,1808.48,1810.06,1805.23,2025-09-16,1681.19,2026-01-29,1677.26
2025/2026,Sporting CP,3,8,1770.05,1771.90,1754.57,2025-09-16,1796.39,2026-01-29,1835.88
2025/2026,FC København,4,8,1739.96,1736.35,1726.19,2025-09-16,1653.38,2026-01-29,1600.90
2025/2026,Arsenal,2,8,1744.04,1736.29,1732.89,2025-09-16,2000.40,2026-01-29,2047.69
2025/2026,Ajax,3,8,1766.66,1763.16,1764.87,2025-09-16,1665.69,2026-01-29,1611.39
2025/2026,Barcelona,1,8,1772.75,1785.14,1764.95,2025-09-16,1951.68,2026-01-29,1943.01
