pos,team,played,wins,draws,losses,gf,ga,gd,away_goals,away_wins,points
1,Arsenal,7,7,0,0,20,2,18,11,4,21
2,Bayern München,7,6,0,1,20,7,13,8,2,18
3,Real Madrid,7,5,0,2,19,8,11,9,2,15
4,Liverpool,7,5,0,2,14,8,6,9,3,15
5,Tottenham Hotspur,7,4,2,1,15,7,8,5,0,14
6,Paris Saint-Germain,7,4,1,2,20,10,10,10,2,13
7,Newcastle United,7,4,1,2,16,6,10,7,1,13
8,Chelsea,7,4,1,2,14,8,6,4,0,13
9,Barcelona,7,4,1,2,18,13,5,9,2,13
10,Sporting CP,7,4,1,2,14,9,5,3,0,13
11,Manchester City,7,4,1,2,13,9,4,7,2,13
12,Atletico Madrid,7,4,1,2,16,13,3,6,1,13
13,Atalanta,7,4,1,2,10,9,1,4,2,13
14,Inter,7,4,0,3,13,7,6,7,2,12
15,Juventus,7,3,3,1,14,10,4,5,1,12
16,Borussia Dortmund,7,3,2,2,19,15,4,9,1,11
17,Galatasaray,7,3,1,3,9,9,0,4,1,10
18,Qarabag FK,7,3,1,3,13,15,-2,4,1,10
19,Marseille,7,3,0,4,11,11,0,5,1,9
20,Bayer Leverkusen,7,2,3,2,10,14,-4,5,2,9
21,Monaco,7,2,3,2,8,14,-6,5,1,9
22,PSV Eindhoven,7,2,2,3,15,14,1,6,1,8
23,Athletic Club,7,2,2,3,7,11,-4,4,1,8
24,Olympiacos,7,2,2,3,8,13,-5,2,1,8
25,Napoli,7,2,2,3,7,12,-5,3,0,8
26,FC København,7,2,2,3,11,17,-6,3,1,8
27,Club Brugge,7,2,1,4,12,17,-5,5,1,7
28,Bodø/Glimt,7,1,3,3,12,14,-2,5,0,6
29,Benfica,7,2,0,5,6,10,-4,2,1,6
30,Pafos FC,7,1,3,3,4,10,-6,0,0,6
31,Union St.Gilloise,7,2,0,5,7,17,-10,5,2,6
32,Ajax,7,2,0,5,7,19,-12,7,2,6
33,Eintracht Frankfurt,7,1,1,5,10,19,-9,4,0,4
34,Slavia Prague,7,0,3,4,4,15,-11,0,0,3
35,Villarreal,7,0,1,6,5,15,-10,0,0,1
36,Kairat Almaty,7,0,1,6,5,19,-14,4,0,1
