Team,Matches,contexGD,xGD
Manchester City,32,1.03,0.84
Arsenal,33,0.97,1.13
Liverpool,33,0.61,0.46
Chelsea,33,0.52,0.57
Manchester United,33,0.31,0.5
Brentford,33,0.17,0.35
Newcastle United,33,0.12,0.06
Brighton,33,0.08,0.06
Aston Villa,33,0.07,-0.05
Bournemouth,33,0.04,0.25
Crystal Palace,31,0.03,0.2
Fulham,33,0.01,-0.3
Leeds,33,-0.02,0.13
Everton,33,-0.29,-0.22
Tottenham,33,-0.35,-0.35
Nottingham Forest,33,-0.36,-0.45
Sunderland,33,-0.52,-0.52
West Ham,32,-0.56,-0.53
Wolves,33,-0.81,-0.92
Burnley,33,-1.02,-1.18
