Team,Matches,contexGD,xGD
Arsenal,28,1.12,1.25
Manchester City,28,0.94,0.8
Chelsea,27,0.66,0.62
Liverpool,28,0.57,0.55
Manchester United,27,0.39,0.62
Brentford,28,0.2,0.36
Newcastle United,28,0.15,0.27
Crystal Palace,27,0.04,0.23
Aston Villa,28,0.03,-0.13
Bournemouth,28,-0.01,0.21
Brighton,27,-0.05,-0.05
Fulham,27,-0.09,-0.37
Leeds,28,-0.15,-0.03
Tottenham,27,-0.25,-0.33
Everton,28,-0.3,-0.23
Nottingham Forest,27,-0.33,-0.49
Sunderland,28,-0.55,-0.59
West Ham,28,-0.58,-0.6
Wolves,29,-0.75,-0.79
Burnley,28,-1.01,-1.26
