Rank,Club,Elo
1,Manchester United,2022.99707031
2,Chelsea,2015.37670898
3,Liverpool,1963.96850586
4,Arsenal,1938.36706543
5,Real Madrid,1929.36645508
6,Villarreal,1897.8671875
7,Inter,1893.64868164
8,Sevilla,1893.02954102
9,Barcelona,1888.46166992
10,Roma,1866.16650391
11,Atletico,1849.37365723
12,Juventus,1831.83642578
13,Lyon,1828.23913574
14,Mallorca,1820.64465332
15,Everton,1820.20068359
16,Porto,1814.67700195
17,Milan,1811.10095215
18,Bayern,1808.02185059
19,Aston Villa,1797.30505371
20,Depor,1794.95751953
21,Fiorentina,1790.63867188
22,Santander,1783.29223633
23,Getafe,1782.06152344
24,Valencia,1777.08508301
25,Portsmouth,1775.43505859
26,Schalke,1765.98364258
27,Blackburn Rovers,1762.87414551
28,Almeria,1762.43383789
29,Tottenham Hotspur,1761.6607666
30,Werder,1755.81079102
31,Bordeaux,1746.62414551
32,Bilbao,1746.31335449
33,Recreativo,1746.08435059
34,Middlesbrough,1741.33898926
35,Osasuna,1741.01940918
36,Betis,1740.86584473
37,Marseille,1739.29333496
38,Zaragoza,1734.63232422
39,Manchester City,1734.17504883
