spell_id,Team,Country,start_date,end_date,days
13,Ipswich,ENG,1981-09-17,1981-09-30,14
1,Portsmouth,ENG,1949-04-07,1949-04-10,4
5,Portsmouth,ENG,1950-05-08,1950-06-30,54
11,QPR,ENG,1976-05-30,1976-08-21,84
2,Rangers,SCO,1950-01-22,1950-02-05,15
3,Rangers,SCO,1950-03-19,1950-03-19,1
4,Rangers,SCO,1950-03-26,1950-03-26,1
6,Rangers,SCO,1950-07-01,1950-09-23,85
10,Rangers,SCO,1968-02-18,1968-02-24,7
12,West Brom,ENG,1979-01-14,1979-02-03,21
7,Wolves,ENG,1954-04-20,1954-04-20,1
8,Wolves,ENG,1954-04-25,1954-05-02,8
9,Wolves,ENG,1958-04-22,1958-04-26,5
