Date,Team,Country
1940-01-01,Hercules,ESP
1940-01-02,Hercules,ESP
1940-01-03,Hercules,ESP
1940-01-04,Hercules,ESP
1940-01-05,Hercules,ESP
1940-01-06,Hercules,ESP
1940-01-07,Hercules,ESP
1940-01-08,Zaragoza,ESP
1940-01-09,Zaragoza,ESP
1940-01-10,Zaragoza,ESP
1940-01-11,Zaragoza,ESP
1940-01-12,Zaragoza,ESP
1940-01-13,Zaragoza,ESP
1940-01-14,Zaragoza,ESP
1940-01-15,Hercules,ESP
1940-01-16,Hercules,ESP
1940-01-17,Hercules,ESP
1940-01-18,Hercules,ESP
1940-01-19,Hercules,ESP
1940-01-20,Hercules,ESP
1940-01-21,Hercules,ESP
1940-01-22,Hercules,ESP
1940-01-23,Hercules,ESP
1940-01-24,Hercules,ESP
1940-01-25,Hercules,ESP
1940-01-26,Hercules,ESP
1940-01-27,Hercules,ESP
1940-01-28,Hercules,ESP
1940-01-29,Espanyol,ESP
1940-01-30,Espanyol,ESP
1940-01-31,Espanyol,ESP
1940-02-01,Espanyol,ESP
1940-02-02,Espanyol,ESP
1940-02-03,Espanyol,ESP
1940-02-04,Espanyol,ESP
1940-02-05,Espanyol,ESP
1940-02-06,Espanyol,ESP
1940-02-07,Espanyol,ESP
1940-02-08,Espanyol,ESP
1940-02-09,Espanyol,ESP
1940-02-10,Espanyol,ESP
1940-02-11,Espanyol,ESP
1940-02-12,Espanyol,ESP
1940-02-13,Espanyol,ESP
1940-02-14,Espanyol,ESP
1940-02-15,Espanyol,ESP
1940-02-16,Espanyol,ESP
1940-02-17,Espanyol,ESP
1940-02-18,Espanyol,ESP
1940-02-19,Espanyol,ESP
1940-02-20,Espanyol,ESP
1940-02-21,Espanyol,ESP
1940-02-22,Espanyol,ESP
1940-02-23,Espanyol,ESP
1940-02-24,Espanyol,ESP
1940-02-25,Espanyol,ESP
1940-02-26,Espanyol,ESP
1940-02-27,Espanyol,ESP
1940-02-28,Espanyol,ESP
1940-02-29,Espanyol,ESP
1940-03-01,Espanyol,ESP
1940-03-02,Espanyol,ESP
1940-03-03,Espanyol,ESP
1940-03-04,Espanyol,ESP
1940-03-05,Espanyol,ESP
1940-03-06,Espanyol,ESP
1940-03-07,Espanyol,ESP
1940-03-08,Espanyol,ESP
1940-03-09,Espanyol,ESP
1940-03-10,Espanyol,ESP
1940-03-11,Sevilla,ESP
1940-03-12,Sevilla,ESP
1940-03-13,Sevilla,ESP
1940-03-14,Sevilla,ESP
1940-03-15,Sevilla,ESP
1940-03-16,Sevilla,ESP
1940-03-17,Sevilla,ESP
1940-03-18,Atletico,ESP
1940-03-19,Atletico,ESP
1940-03-20,Atletico,ESP
1940-03-21,Atletico,ESP
1940-03-22,Atletico,ESP
1940-03-23,Atletico,ESP
1940-03-24,Atletico,ESP
1940-03-25,Sevilla,ESP
1940-03-26,Sevilla,ESP
1940-03-27,Sevilla,ESP
1940-03-28,Sevilla,ESP
1940-03-29,Sevilla,ESP
1940-03-30,Sevilla,ESP
1940-03-31,Sevilla,ESP
1940-04-01,Real Madrid,ESP
1940-04-02,Real Madrid,ESP
1940-04-03,Real Madrid,ESP
1940-04-04,Real Madrid,ESP
1940-04-05,Real Madrid,ESP
1940-04-06,Real Madrid,ESP
1940-04-07,Real Madrid,ESP
1940-04-08,Atletico,ESP
1940-04-09,Atletico,ESP
1940-04-10,Atletico,ESP
1940-04-11,Atletico,ESP
1940-04-12,Atletico,ESP
1940-04-13,Atletico,ESP
1940-04-14,Atletico,ESP
1940-04-15,Atletico,ESP
1940-04-16,Atletico,ESP
1940-04-17,Atletico,ESP
1940-04-18,Atletico,ESP
1940-04-19,Atletico,ESP
1940-04-20,Atletico,ESP
1940-04-21,Atletico,ESP
1940-04-22,Atletico,ESP
1940-04-23,Atletico,ESP
1940-04-24,Atletico,ESP
1940-04-25,Atletico,ESP
1940-04-26,Atletico,ESP
1940-04-27,Atletico,ESP
1940-04-28,Atletico,ESP
1940-04-29,Atletico,ESP
1940-04-30,Atletico,ESP
1940-05-01,Atletico,ESP
1940-05-02,Atletico,ESP
1940-05-03,Atletico,ESP
1940-05-04,Atletico,ESP
1940-05-05,Atletico,ESP
1940-05-06,Atletico,ESP
1940-05-07,Atletico,ESP
1940-05-08,Atletico,ESP
1940-05-09,Atletico,ESP
1940-05-10,Atletico,ESP
1940-05-11,Atletico,ESP
1940-05-12,Atletico,ESP
1940-05-13,Atletico,ESP
1940-05-14,Atletico,ESP
1940-05-15,Atletico,ESP
1940-05-16,Atletico,ESP
1940-05-17,Atletico,ESP
1940-05-18,Atletico,ESP
1940-05-19,Atletico,ESP
1940-05-20,Atletico,ESP
1940-05-21,Atletico,ESP
1940-05-22,Atletico,ESP
1940-05-23,Atletico,ESP
1940-05-24,Atletico,ESP
1940-05-25,Atletico,ESP
1940-05-26,Atletico,ESP
1940-05-27,Atletico,ESP
1940-05-28,Atletico,ESP
1940-05-29,Atletico,ESP
1940-05-30,Atletico,ESP
1940-05-31,Atletico,ESP
1940-06-01,Atletico,ESP
1940-06-02,Atletico,ESP
1940-06-03,Atletico,ESP
1940-06-04,Atletico,ESP
1940-06-05,Atletico,ESP
1940-06-06,Atletico,ESP
1940-06-07,Atletico,ESP
1940-06-08,Atletico,ESP
1940-06-09,Atletico,ESP
1940-06-10,Atletico,ESP
1940-06-11,Atletico,ESP
1940-06-12,Atletico,ESP
1940-06-13,Atletico,ESP
1940-06-14,Atletico,ESP
