Player,Shots (Emery),xG overperformance (Emery),per shot (Emery),Shots (Other),xG overperformance (Other),per shot (Other)
Jhon Durán,92,6.49,0.071,NA,NA,NA
Alex Baena,37,6.31,0.171,202,-6.45,-0.032
Edinson Cavani,132,6.26,0.047,201,-1.45,-0.007
Neymar,118,5.52,0.047,392,4.76,0.012
Gerard Moreno,206,4.58,0.022,424,-4.69,-0.011
Yeremi Pino,58,3.92,0.068,86,-6.18,-0.072
Alexandre Lacazette,124,3.76,0.03,481,6.83,0.014
Morgan Rogers,97,3.64,0.038,NA,NA,NA
Ollie Watkins,288,3.52,0.012,201,-3.87,-0.019
Mesut Özil,17,3.36,0.198,57,-0.12,-0.002
