Team,Pld,Pts,xG Diff,GD
Arsenal,20,48,21.5,26
Manchester City,20,42,15.8,26
Aston Villa,20,42,-5.3,9
Liverpool,20,34,8.6,4
Chelsea,20,31,6.4,11
Manchester United,20,31,9,4
Brentford,20,30,4.1,4
Sunderland,20,30,-11.4,2
Newcastle United,20,29,6.9,4
Brighton & Hove Albion,20,28,4.1,3
Fulham,20,28,-3.3,-1
Everton,20,28,-6.9,-2
Tottenham Hotspur,20,27,-6.3,4
Crystal Palace,20,27,5.5,-1
AFC Bournemouth,20,23,1.3,-7
Leeds United,20,22,0.1,-7
Nottingham Forest,20,18,-5.2,-14
West Ham United,20,14,-14,-20
Burnley,20,12,-21.2,-19
Wolverhampton Wanderers,20,6,-9.9,-26
