team,manager,manager_team,manager_start_date,manager_end_date,n,wins,draws,losses,points,points_per_game,contexG_attack_mean,opp_contexG_attack_mean,contexG_attack_share,contexG_defence_mean,opp_contexG_defence_mean,contexG_defence_share,opp_adj_contexg_diff_mean,opp_opp_adj_contexg_diff_mean,opp_adj_contexg_diff_share,touches_mean,opp_touches_mean,touches_share,touches_box_mean,opp_touches_box_mean,touches_box_share,progressive_passes_mean,opp_progressive_passes_mean,progressive_passes_share,crosses_mean,opp_crosses_mean,crosses_share,shots_mean,opp_shots_mean,shots_share,goals_mean,opp_goals_mean,goals_share,xg_mean,opp_xg_mean,xg_share,shots_box_mean,opp_shots_box_mean,shots_box_share
Arsenal,Mikel Arteta,Mikel Arteta - Arsenal,2024-08-16,,38,20,14,4,74,1.9473684210526316,2.041101723769321,0.9446196411742727,0.6836209660200095,0.9446196411742727,2.041101723769321,0.3163790339799904,1.0626758157894738,-0.042906736842105254,1.0420749537595262,669.9473684210526,543.4473684210526,0.5521264828992171,36.421052631578945,17.86842105263158,0.6708676684440136,40.78947368421053,31.289473684210527,0.5658999634903249,20.31578947368421,14.078947368421053,0.5906656465187452,14.368421052631579,9.578947368421053,0.6,1.763157894736842,0.9473684210526315,0.6504854368932039,1.9360501315789476,1.0521016236842105,0.6479089049506608,10.526315789473685,6.052631578947368,0.6349206349206349
Aston Villa,Unai Emery,Unai Emery - Aston Villa,2024-08-16,,38,19,9,10,66,1.736842105263158,1.5372387562489125,1.393018519917216,0.5246088009924491,1.393018519917216,1.5372387562489125,0.47539119900755095,0.12862039473684211,-0.014706631578947377,1.1291032020297904,611.078947368421,603.078947368421,0.5032944644327886,26.86842105263158,25.026315789473685,0.5177484787018256,41.921052631578945,39.39473684210526,0.5155339805825243,15.921052631578947,18.026315789473685,0.4689922480620155,12.736842105263158,12.236842105263158,0.5100105374077977,1.4736842105263157,1.394736842105263,0.5137614678899083,1.7469801578947368,1.4473185,0.5469057045048247,8.894736842105264,8.105263157894736,0.5232198142414861
Bournemouth,Andoni Iraola,Andoni Iraola - Bournemouth,2024-08-16,,38,15,11,12,56,1.4736842105263157,1.5868809587166186,1.5241701854209293,0.5100787114049637,1.5241701854209293,1.5868809587166186,0.48992128859503625,0.05695610526315789,0.007752815789473686,0.8801893824938316,605.1578947368421,638.2894736842105,0.4866775306342723,28.605263157894736,26.18421052631579,0.5220941402497599,43.05263157894737,47.0,0.47808299240210406,21.94736842105263,15.842105263157896,0.5807799442896935,15.289473684210526,12.842105263157896,0.5434985968194574,1.5,1.236842105263158,0.548076923076923,1.9110755,1.4208838684210525,0.573559065009133,10.289473684210526,8.5,0.5476190476190476
Brentford,Thomas Frank,Thomas Frank - Brentford,2024-08-16,,38,16,8,14,56,1.4736842105263157,1.627051964168076,1.7361845743160345,0.4837756564399799,1.7361845743160345,1.627051964168076,0.5162243435600202,-0.09552015789473685,0.009629631578947353,1.112115177214569,598.6052631578947,640.1842105263158,0.483217912223308,27.289473684210527,33.26315789473684,0.4506736201651456,41.89473684210526,47.68421052631579,0.4676850763807286,17.763157894736842,20.94736842105263,0.4588715159755269,11.657894736842104,17.05263157894737,0.4060494958753437,1.7894736842105263,1.4473684210526316,0.5528455284552846,1.7663104473684212,1.6017052105263159,0.5244365308184161,8.894736842105264,10.921052631578947,0.448871181938911
Brighton,Fabian Huerzeler,Fabian Huerzeler - Brighton,2024-08-16,,38,16,13,9,61,1.605263157894737,1.6425939296135472,1.3475460368853707,0.5493368029647189,1.3475460368853707,1.6425939296135472,0.4506631970352811,0.2826873421052632,-0.030575499999999995,1.1212775240729624,660.5,618.4736842105264,0.516429703092529,30.473684210526315,25.05263157894737,0.5488151658767773,39.05263157894737,36.76315789473684,0.5150989239847275,18.55263157894737,14.368421052631579,0.5635491606714629,14.078947368421053,11.289473684210526,0.5549792531120332,1.736842105263158,1.5526315789473684,0.528,1.7178123684210527,1.5558945,0.5247300498989311,9.263157894736842,8.526315789473685,0.5207100591715976
Chelsea,Enzo Maresca,Enzo Maresca - Chelsea,2024-08-16,,38,20,9,9,69,1.8157894736842106,1.8648831774556003,1.1913875036328847,0.6101825957350825,1.1913875036328847,1.8648831774556003,0.3898174042649175,0.6309118157894736,-0.019114605263157905,1.0312433677929227,702.0526315789474,568.4736842105264,0.5525683512841756,31.736842105263158,21.605263157894736,0.5949679329057721,43.73684210526316,36.6578947368421,0.5440261865793781,17.55263157894737,14.473684210526315,0.5480690221857025,15.657894736842104,10.552631578947368,0.5973895582329317,1.605263157894737,1.2105263157894737,0.5700934579439253,1.9241391842105262,1.4279523157894738,0.5740115340558353,10.368421052631579,7.2105263157894735,0.5898203592814372
Crystal Palace,Oliver Glasner,Oliver Glasner - Crystal Palace,2024-08-16,,38,13,14,11,53,1.394736842105263,1.393699440310889,1.5203147241179087,0.4782747652100314,1.5203147241179087,1.393699440310889,0.5217252347899687,-0.1476087105263158,-0.010327210526315786,0.9346113888627382,569.9736842105264,713.2368421052631,0.4441778434026496,22.07894736842105,25.31578947368421,0.46585230427540253,43.18421052631579,46.421052631578945,0.4819383259911894,15.921052631578947,18.842105263157894,0.45798637395912184,13.657894736842104,12.763157894736842,0.5169322709163346,1.368421052631579,1.3157894736842106,0.5098039215686275,1.7837044736842107,1.5495877631578947,0.5351179395461758,9.131578947368421,8.736842105263158,0.5110456553755522
Everton,Sean Dyche,Sean Dyche - Everton,2024-08-16,2025-01-09,19,3,8,8,17,0.8947368421052632,1.1258782877397073,1.6993234314548114,0.3985125310134321,1.6993234314548114,1.1258782877397073,0.6014874689865678,-0.6004422105263159,0.1415167894736842,1.308365549132338,537.2105263157895,728.578947368421,0.42440748440748444,20.526315789473685,28.105263157894736,0.42207792207792205,45.63157894736842,45.473684210526315,0.5008665511265165,17.57894736842105,19.36842105263158,0.47578347578347574,11.368421052631579,13.368421052631579,0.4595744680851064,0.6842105263157895,1.4210526315789473,0.325,1.0592765263157895,1.7392620526315792,0.3785106034572593,7.421052631578948,9.210526315789474,0.44620253164556967
Everton,David Moyes,David Moyes - Everton,2025-01-11,,19,8,7,4,31,1.631578947368421,1.2393619957927005,1.306311645025386,0.48685030787937716,1.306311645025386,1.2393619957927005,0.5131496921206228,-0.016271842105263157,-0.09556852631578949,0.1454916711647757,556.2631578947369,710.421052631579,0.43914904225703244,20.42105263157895,24.157894736842106,0.45808736717827625,43.526315789473685,42.94736842105263,0.5033475349969568,18.473684210526315,19.157894736842106,0.49090909090909085,10.0,12.052631578947368,0.45346062052505964,1.368421052631579,1.0526315789473684,0.5652173913043479,1.4075347894736843,1.0851108947368422,0.564675035200392,7.2631578947368425,7.2631578947368425,0.5
Fulham,Marco Silva,Marco Silva - Fulham,2024-08-16,,38,15,9,14,54,1.4210526315789473,1.416455287794085,1.3330403728326476,0.5151691301346559,1.3330403728326476,1.416455287794085,0.4848308698653441,0.07642578947368421,0.0005875789473684185,0.9923704291941111,663.421052631579,625.1052631578947,0.5148680663344498,26.157894736842106,23.0,0.5321199143468951,48.31578947368421,39.78947368421053,0.5483870967741935,23.526315789473685,16.657894736842106,0.5854616895874263,13.736842105263158,11.421052631578947,0.5460251046025105,1.4473684210526316,1.394736842105263,0.5092592592592593,1.5264056315789474,1.2955931315789475,0.5408952163646086,9.68421052631579,8.105263157894736,0.5443786982248521
Ipswich,Kieran McKenna,Kieran McKenna - Ipswich,2024-08-16,,38,4,10,24,22,0.5789473684210527,0.9621632072291002,1.9545646269134784,0.3298776100965705,1.9545646269134784,0.9621632072291002,0.6701223899034294,-0.9267993684210526,0.06795747368421053,1.0791268731773191,539.0526315789474,718.2368421052631,0.4287418632396342,17.105263157894736,32.63157894736842,0.34391534391534395,35.36842105263158,47.13157894736842,0.4287081339712919,13.342105263157896,20.5,0.3942457231726283,9.947368421052632,16.0,0.38336713995943206,0.9736842105263158,2.1315789473684212,0.3135593220338983,1.0636998078947368,2.2034906315789478,0.3255701886989145,6.026315789473684,11.0,0.35394126738794435
Leicester,Steve Cooper,Steve Cooper - Leicester,2024-08-16,2024-11-24,12,2,4,6,10,0.8333333333333334,1.029895668949661,2.264080233727888,0.31266035313509655,2.264080233727888,1.029895668949661,0.6873396468649033,-1.2322738333333334,0.021313249999999995,1.0176002838517935,617.0,679.5833333333334,0.4758660582299633,19.5,36.166666666666664,0.35029940119760483,34.916666666666664,48.666666666666664,0.41774675972083747,15.75,20.833333333333332,0.43052391799544426,9.916666666666666,17.583333333333332,0.3606060606060606,1.4166666666666667,1.75,0.4473684210526316,1.1910162499999999,2.38414,0.333136838424894,6.75,12.916666666666666,0.3432203389830509
Leicester,Ben Dawson (interim),Ben Dawson (interim) - Leicester,2024-11-24,2024-12-01,1,0,0,1,0,0.0,0.7246250935787616,2.047145475184556,0.2614304018323089,2.047145475184556,0.7246250935787616,0.7385695981676911,-1.363003,-0.017139,0.9875817126063839,560.0,783.0,0.41697691734921816,15.0,30.0,0.3333333333333333,32.0,61.0,0.34408602150537637,17.0,20.0,0.4594594594594595,7.0,13.0,0.35,1.0,4.0,0.2,0.907555,2.21885,0.2902870869257182,3.0,10.0,0.23076923076923078
