team_name,matches,mean_contexg_for,mean_contexg_against,contexg_diff,mean_goals_for,mean_goals_against,mean_gd,mean_xg_for,mean_xg_against,mean_xgd
Arsenal,31,1.94084320400211,0.8694392331780776,1.0714039708240324,1.967741935483871,0.7096774193548387,1.2580645161290323,1.9593743225806453,0.8076900064516128,1.1516843161290324
Manchester City,30,2.009783356826108,1.014946078468423,0.9948372783576851,2.0,0.9333333333333333,1.0666666666666667,2.0176281666666664,1.1689688666666667,0.8486592999999998
Chelsea,31,1.7933863516332573,1.1960091140134805,0.5973772376197767,1.7096774193548387,1.2258064516129032,0.4838709677419355,2.084852129032258,1.4625306129032256,0.6223215161290323
Liverpool,31,1.817457910455688,1.2266475206534093,0.5908103898022787,1.6129032258064515,1.3548387096774193,0.25806451612903225,1.8133542258064517,1.3429909032258063,0.4703633225806454
Manchester United,31,1.6417918283832174,1.285270719539889,0.35652110884332827,1.8064516129032258,1.3870967741935485,0.41935483870967727,1.8978114838709677,1.2881614838709676,0.60965
Brentford,31,1.4798825218203608,1.3157751031844043,0.1641074186359567,1.4838709677419355,1.3548387096774193,0.12903225806451624,1.754969870967742,1.4501777096774193,0.3047921612903226
Newcastle United,31,1.510004394014002,1.360363989857554,0.14964040415644814,1.4193548387096775,1.4516129032258065,-0.032258064516129004,1.6033474838709678,1.4240286129032258,0.17931887096774202
Fulham,31,1.4244571766600342,1.3764125831320209,0.04804459352801339,1.3870967741935485,1.4193548387096775,-0.032258064516129004,1.3218223870967742,1.5728643225806451,-0.2510419354838709
Brighton,31,1.428607787746157,1.3838077455649302,0.04480004218122661,1.3225806451612903,1.1935483870967742,0.12903225806451601,1.5052435806451614,1.4309483548387099,0.07429522580645154
Bournemouth,31,1.4938523418039775,1.4669855459952998,0.026866795808677457,1.4838709677419355,1.5483870967741935,-0.06451612903225801,1.7359293225806451,1.4686867741935485,0.2672425483870966
Aston Villa,31,1.4047813716090876,1.379707704374251,0.025073667234836585,1.3548387096774193,1.1935483870967742,0.16129032258064502,1.3775042258064516,1.5247067419354838,-0.14720251612903223
Crystal Palace,30,1.3763555932610152,1.3542335221395314,0.022122071121483892,1.1,1.1666666666666667,-0.06666666666666665,1.6387161666666665,1.4964096,0.14230656666666652
Leeds,31,1.3216046454313897,1.4027297007782604,-0.08112505534687096,1.1935483870967742,1.5483870967741935,-0.35483870967741926,1.4639598064516128,1.4706289032258066,-0.006669096774193806
Everton,31,1.22509461060083,1.5040137341054918,-0.27891912350466164,1.1935483870967742,1.1290322580645162,0.06451612903225801,1.3009235161290322,1.5199285483870968,-0.21900503225806456
Tottenham,31,1.224512928755882,1.5705553220833783,-0.3460423933274963,1.2903225806451613,1.6129032258064515,-0.32258064516129026,1.193060393548387,1.550799935483871,-0.3577395419354841
Nottingham Forest,31,1.1829502641705327,1.5773433631585936,-0.3943930989880612,1.0,1.3870967741935485,-0.3870967741935485,1.2072253548387097,1.7005404838709677,-0.49331512903225794
Sunderland,31,1.1075693949011411,1.6512150886134191,-0.543645693712278,1.032258064516129,1.1612903225806452,-0.12903225806451624,1.0777310967741935,1.585054806451613,-0.5073237096774195
West Ham,31,1.0992964851397635,1.7259367320156038,-0.6266402468758402,1.1612903225806452,1.8387096774193548,-0.6774193548387095,1.2540470967741935,1.8680572903225807,-0.6140101935483873
Wolverhampton Wanderers,31,0.9813839877593376,1.7432737180432862,-0.7618897302839486,0.7741935483870968,1.7419354838709677,-0.967741935483871,0.9587301290322581,1.7813235483870968,-0.8225934193548388
Burnley,31,0.9671049547421772,1.9932494505109848,-1.0261444957688073,1.064516129032258,1.967741935483871,-0.903225806451613,0.9976603548387097,2.217426967741935,-1.2197666129032254
