Team,Matches,contexGD,since 1 Jan
Arsenal,32,1.03,0.88
Manchester City,31,1.03,1.18
Liverpool,32,0.61,0.74
Chelsea,32,0.51,0.35
Manchester United,31,0.36,0.33
Brentford,32,0.17,0.33
Newcastle United,32,0.14,-0.12
Brighton,32,0.08,0.35
Aston Villa,32,0.03,0.34
Bournemouth,32,0.03,0.02
Crystal Palace,31,0.03,-0.09
Fulham,32,0.01,0.02
Leeds,31,-0.08,-0.02
Everton,32,-0.29,-0.27
Tottenham,32,-0.36,-0.63
Nottingham Forest,32,-0.39,-0.57
Sunderland,32,-0.5,-0.46
West Ham,32,-0.56,-0.15
Wolves,32,-0.78,-0.86
Burnley,32,-1.04,-1.27
