team_name,matches,season_long_contexg_diff,latest_decayed_opp_adj_contexg,latest_match_date,latest_raw_opp_adj_contexg_diff
Manchester City,32,1.029720,1.182380,2026-04-19 15:30:00,1.677042
Arsenal,33,0.973579,0.781575,2026-04-19 15:30:00,0.326257
Liverpool,33,0.609891,0.606841,2026-04-19 13:00:00,0.476950
Chelsea,33,0.518858,0.425860,2026-04-18 19:00:00,0.774203
Manchester United,33,0.307017,0.260502,2026-04-18 19:00:00,0.051672
Brentford,33,0.166009,-0.002316,2026-04-18 11:30:00,-0.371749
Newcastle United,33,0.124399,0.017908,2026-04-18 14:00:00,-0.589546
Brighton,33,0.079386,0.229369,2026-04-18 16:30:00,-0.164742
Aston Villa,33,0.065967,0.088443,2026-04-19 13:00:00,0.451692
Bournemouth,33,0.039546,0.058313,2026-04-18 14:00:00,0.753491
Crystal Palace,31,0.027022,-0.144935,2026-04-12 13:00:00,0.028984
Fulham,33,0.008758,0.050081,2026-04-18 11:30:00,0.546516
Leeds,33,-0.022809,0.195120,2026-04-18 14:00:00,0.502825
Everton,33,-0.292375,-0.228284,2026-04-19 13:00:00,-0.159434
Tottenham,33,-0.347698,-0.480957,2026-04-18 16:30:00,-0.103570
Nottingham Forest,33,-0.358501,-0.323878,2026-04-19 13:00:00,-0.739050
Sunderland,33,-0.523155,-0.478165,2026-04-19 13:00:00,-0.908880
West Ham,32,-0.563323,-0.360850,2026-04-10 19:00:00,0.324122
Wolverhampton Wanderers,33,-0.805949,-0.767753,2026-04-18 14:00:00,-1.331583
Burnley,33,-1.020573,-1.099682,2026-04-19 13:00:00,-0.640024
