Team,Matches,Season contexGD,Recency-weighted
Manchester City,32,1.03,1.18
Arsenal,33,0.97,0.78
Liverpool,33,0.61,0.61
Chelsea,33,0.52,0.43
Manchester United,33,0.31,0.26
Brentford,33,0.17,-0
Newcastle United,33,0.12,0.02
Brighton,33,0.08,0.23
Aston Villa,33,0.07,0.09
Bournemouth,33,0.04,0.06
Crystal Palace,31,0.03,-0.14
Fulham,33,0.01,0.05
Leeds,33,-0.02,0.2
Everton,33,-0.29,-0.23
Tottenham,33,-0.35,-0.48
Nottingham Forest,33,-0.36,-0.32
Sunderland,33,-0.52,-0.48
West Ham,32,-0.56,-0.36
Wolves,33,-0.81,-0.77
Burnley,33,-1.02,-1.1
