team,top_five_probability,champions_league_probability,europa_league_probability,conference_league_probability,any_europe
Arsenal,100.0%,100.0%,0.0%,0.0%,100.0%
Manchester City,100.0%,100.0%,0.0%,0.0%,100.0%
Manchester United,96.8%,97.0%,2.8%,0.1%,100.0%
Aston Villa,88.4%,92.4%,6.7%,0.6%,99.8%
Liverpool,62.6%,66.8%,27.3%,3.5%,97.6%
Chelsea,39.0%,43.6%,44.2%,6.4%,94.3%
Brentford,4.3%,5.4%,28.7%,18.1%,52.2%
Everton,4.1%,5.2%,25.7%,17.7%,48.6%
Brighton,2.3%,3.1%,21.0%,16.0%,40.1%
Newcastle United,0.9%,1.4%,14.7%,14.1%,30.2%
Crystal Palace,0.1%,0.1%,26.9%,1.9%,28.9%
Fulham,0.8%,1.0%,9.2%,10.7%,20.9%
Sunderland,0.5%,0.7%,4.7%,6.1%,11.5%
Nottingham Forest,0.0%,9.9%,0.0%,0.0%,9.9%
Bournemouth,0.1%,0.2%,3.6%,4.8%,8.7%
West Ham,0.0%,0.0%,4.9%,0.0%,4.9%
Leeds,0.0%,0.0%,4.8%,0.0%,4.8%
