season,team,championship_ppg,xg_differential_per_game,shot_differential_per_game,goal_differential_per_game,corner_differential_per_game,possession_percent,touches_in_box_percent,mean_forecast_points,actual_points
2017/18,Brighton,2.022,0.484,2.0,0.739,0.37,50.834,56.498,32.7,40
2017/18,Huddersfield,1.714,0.117,4.061,-0.041,2.286,55.643,55.313,25.4,37
2017/18,Newcastle,2.043,0.524,5.652,0.978,1.717,53.108,57.922,32.5,44
2018/19,Cardiff,1.957,0.528,2.804,0.652,-0.174,45.369,58.452,36.5,34
2018/19,Fulham,1.918,0.434,2.714,0.714,1.633,57.836,58.037,29.4,26
2018/19,Wolves,2.152,0.499,3.413,0.935,0.348,53.333,57.62,30.9,57
2019/20,Aston Villa,1.673,0.329,2.245,0.449,1.082,53.366,52.341,30.1,35
2019/20,Norwich,2.043,0.471,3.196,0.783,2.109,55.659,57.363,32.7,21
2019/20,Sheffield United,1.935,0.573,1.261,0.804,2.326,51.034,60.748,37.0,54
2020/21,Fulham,1.776,0.168,2.327,0.367,1.102,58.262,55.416,24.8,28
2020/21,Leeds,2.022,0.916,7.283,0.913,3.696,59.633,67.967,36.4,59
2020/21,West Bromwich Albion,1.804,0.393,4.239,0.696,1.304,53.707,59.567,32.4,26
2021/22,Brentford,1.898,0.699,5.0,0.816,0.898,54.15,61.049,38.0,46
2021/22,Norwich,2.109,0.445,4.326,0.848,-0.022,58.209,58.067,31.5,23
2021/22,Watford,1.978,0.381,0.761,0.717,1.174,52.722,53.004,32.3,23
2022/23,Bournemouth,1.913,0.576,3.457,0.761,0.326,55.233,60.385,33.6,39
2022/23,Fulham,1.957,0.962,7.196,1.37,2.217,58.107,65.956,39.4,52
2022/23,Nottingham Forest,1.755,0.324,1.49,0.694,1.0,50.428,51.478,31.9,38
2023/24,Burnley,2.196,0.49,5.0,1.13,1.957,61.076,59.835,34.0,24
2023/24,Luton,1.714,0.322,1.367,0.388,0.959,46.849,54.965,37.1,26
2023/24,Sheffield United,2.0,0.584,3.8,0.756,0.8,50.971,59.599,39.5,16
2024/25,Ipswich,2.087,0.578,4.913,0.761,0.174,52.006,59.051,36.0,22
2024/25,Leicester,2.109,0.778,3.783,1.043,1.283,59.511,62.357,42.7,25
2024/25,Southampton,1.918,0.627,4.082,0.551,3.122,61.908,61.547,41.7,12
2025/26,Burnley,2.174,0.333,2.761,1.152,1.478,54.957,56.193,32.0,22
2025/26,Leeds,2.174,1.267,9.804,1.413,4.152,58.433,72.482,46.4,47
2025/26,Sunderland,1.694,0.193,1.612,0.327,1.0,49.381,55.086,30.7,54
2026/27,Coventry,2.0,0.824,4.6,1.111,1.044,53.673,58.048,38.3,?
2026/27,Hull,1.587,-0.326,-3.674,0.087,-1.478,46.855,45.116,23.9,?
2026/27,Ipswich,1.844,0.706,4.4,0.733,1.756,54.456,62.678,36.5,?
