"match_date_utc","home_team_name","away_team_name"
"2026-03-14 12:30:00",West Ham,Manchester City
"2026-03-14 15:00:00",Burnley,Bournemouth
"2026-03-14 15:00:00",Crystal Palace,Leeds
"2026-03-14 15:00:00",Sunderland,Brighton
"2026-03-14 17:30:00",Chelsea,Newcastle United
"2026-03-15 14:00:00",Nottingham Forest,Fulham
"2026-03-15 14:00:00",Arsenal,Everton
"2026-03-15 14:00:00",Manchester United,Aston Villa
"2026-03-15 16:30:00",Liverpool,Tottenham
"2026-03-16 20:00:00",Brentford,Wolverhampton Wanderers
"2026-03-20 20:00:00",Bournemouth,Manchester United
"2026-03-21 12:30:00",Brighton,Liverpool
"2026-03-21 15:00:00",Fulham,Burnley
"2026-03-21 15:00:00",Manchester City,Crystal Palace
"2026-03-21 17:30:00",Everton,Chelsea
"2026-03-21 20:00:00",Leeds,Brentford
"2026-03-22 12:00:00",Newcastle United,Sunderland
"2026-03-22 14:15:00",Aston Villa,West Ham
"2026-03-22 14:15:00",Tottenham,Nottingham Forest
"2026-04-11 15:00:00",Arsenal,Bournemouth
"2026-04-11 15:00:00",Brentford,Everton
"2026-04-11 15:00:00",Burnley,Brighton
"2026-04-11 15:00:00",Chelsea,Manchester City
"2026-04-11 15:00:00",Crystal Palace,Newcastle United
"2026-04-11 15:00:00",Liverpool,Fulham
"2026-04-11 15:00:00",Manchester United,Leeds
"2026-04-11 15:00:00",Nottingham Forest,Aston Villa
"2026-04-11 15:00:00",Sunderland,Tottenham
"2026-04-11 15:00:00",West Ham,Wolverhampton Wanderers
"2026-04-18 15:00:00",Aston Villa,Sunderland
"2026-04-18 15:00:00",Brentford,Fulham
"2026-04-18 15:00:00",Chelsea,Manchester United
"2026-04-18 15:00:00",Crystal Palace,West Ham
"2026-04-18 15:00:00",Everton,Liverpool
"2026-04-18 15:00:00",Leeds,Wolverhampton Wanderers
"2026-04-18 15:00:00",Manchester City,Arsenal
"2026-04-18 15:00:00",Newcastle United,Bournemouth
"2026-04-18 15:00:00",Nottingham Forest,Burnley
"2026-04-18 15:00:00",Tottenham,Brighton
"2026-04-25 15:00:00",Arsenal,Newcastle United
"2026-04-25 15:00:00",Bournemouth,Leeds
"2026-04-25 15:00:00",Brighton,Chelsea
"2026-04-25 15:00:00",Burnley,Manchester City
"2026-04-25 15:00:00",Fulham,Aston Villa
"2026-04-25 15:00:00",Liverpool,Crystal Palace
"2026-04-25 15:00:00",Manchester United,Brentford
"2026-04-25 15:00:00",Sunderland,Nottingham Forest
"2026-04-25 15:00:00",West Ham,Everton
"2026-04-25 15:00:00",Wolverhampton Wanderers,Tottenham
"2026-05-02 15:00:00",Arsenal,Fulham
"2026-05-02 15:00:00",Aston Villa,Tottenham
"2026-05-02 15:00:00",Bournemouth,Crystal Palace
"2026-05-02 15:00:00",Brentford,West Ham
"2026-05-02 15:00:00",Chelsea,Nottingham Forest
"2026-05-02 15:00:00",Everton,Manchester City
"2026-05-02 15:00:00",Leeds,Burnley
"2026-05-02 15:00:00",Manchester United,Liverpool
"2026-05-02 15:00:00",Newcastle United,Brighton
"2026-05-02 15:00:00",Wolverhampton Wanderers,Sunderland
"2026-05-09 15:00:00",Brighton,Wolverhampton Wanderers
"2026-05-09 15:00:00",Burnley,Aston Villa
"2026-05-09 15:00:00",Crystal Palace,Everton
"2026-05-09 15:00:00",Fulham,Bournemouth
"2026-05-09 15:00:00",Liverpool,Chelsea
"2026-05-09 15:00:00",Manchester City,Brentford
"2026-05-09 15:00:00",Nottingham Forest,Newcastle United
"2026-05-09 15:00:00",Sunderland,Manchester United
"2026-05-09 15:00:00",Tottenham,Leeds
"2026-05-09 15:00:00",West Ham,Arsenal
"2026-05-17 15:00:00",Arsenal,Burnley
"2026-05-17 15:00:00",Aston Villa,Liverpool
"2026-05-17 15:00:00",Bournemouth,Manchester City
"2026-05-17 15:00:00",Brentford,Crystal Palace
"2026-05-17 15:00:00",Chelsea,Tottenham
"2026-05-17 15:00:00",Everton,Sunderland
"2026-05-17 15:00:00",Leeds,Brighton
"2026-05-17 15:00:00",Manchester United,Nottingham Forest
"2026-05-17 15:00:00",Newcastle United,West Ham
"2026-05-17 15:00:00",Wolverhampton Wanderers,Fulham
"2026-05-24 16:00:00",Brighton,Manchester United
"2026-05-24 16:00:00",Burnley,Wolverhampton Wanderers
"2026-05-24 16:00:00",Crystal Palace,Arsenal
"2026-05-24 16:00:00",Fulham,Newcastle United
"2026-05-24 16:00:00",Liverpool,Brentford
"2026-05-24 16:00:00",Manchester City,Aston Villa
"2026-05-24 16:00:00",Nottingham Forest,Bournemouth
"2026-05-24 16:00:00",Sunderland,Chelsea
"2026-05-24 16:00:00",Tottenham,Everton
"2026-05-24 16:00:00",West Ham,Leeds
