team_name,throwin_setpiece_goals,throwin_setpiece_xg
Brentford,4,3.300719927996397
Newcastle United,3,2.0284748319536448
Burnley,3,1.571040041744709
AFC Bournemouth,2,2.4610053822398186
Everton,2,1.7647854555398226
Sunderland,2,2.8792379572987556
Manchester United,2,1.6988437585532665
Leeds United,2,2.907963667064905
Crystal Palace,2,2.918557196855545
Liverpool,1,0.18673394806683064
Aston Villa,1,1.102445237338543
Fulham,0,0.40644047036767006
Arsenal,0,0.8056891411542892
Manchester City,0,0.05722421780228615
Chelsea,0,0.4969868138432503
Brighton & Hove Albion,0,0.24251384660601616
Nottingham Forest,0,0.591204502619803
Tottenham Hotspur,0,0.9511522613465786
West Ham United,0,0.25273897498846054
Wolverhampton Wanderers,0,0.41128671169281006
