overall_rank,transfer_event_id,source_transfer_id,season_start_year,season,transfer_date,tm_player_id,player_name,from_club,to_club,nominal_fee_gbp,method1_adjusted_fee_gbp_2025_26,adjustment_factor_to_2025_26
1,18683,5249,2002,2002-03,2002-07-22,3235,Rio Ferdinand,Leeds United,Manchester United,39316239,228408628,5.809524
2,12201,535052,2010,2010-11,2011-01-31,7767,Fernando Torres,Liverpool FC,Chelsea FC,50000000,200657895,4.013158
3,22723,5079,1996,1996-97,1996-07-30,3110,Alan Shearer,Blackburn Rovers,Newcastle United,15384615,185466707,12.055336
4,19923,5248,2000,2000-01,2000-11-26,3235,Rio Ferdinand,West Ham United,Leeds United,22222222,150617284,6.777778
5,14513,130697,2007,2007-08,2007-07-04,7767,Fernando Torres,Atlético de Madrid,Liverpool FC,32478632,147300861,4.535316
6,13934,226583,2008,2008-09,2008-09-01,15511,Robinho,Real Madrid,Manchester City,36752137,143710278,3.910256
7,23427,6020,1995,1995-96,1995-07-03,3187,Dennis Bergkamp,Inter Milan,Arsenal FC,9615385,115916692,12.055336
8,23749,11385,1994,1994-95,1994-07-13,7453,Chris Sutton,Norwich City,Blackburn Rovers,6410256,115346797,17.9941
9,20510,5108,2000,2000-01,2000-07-01,3122,Sergiy Rebrov,Dynamo Kyiv,Tottenham Hotspur,15384615,104273504,6.777778
10,22783,7284,1996,1996-97,1996-07-04,4226,Fabrizio Ravanelli,Juventus FC,Middlesbrough FC,8358974,100770244,12.055336
11,22254,282553,1997,1997-98,1997-07-01,106811,Stan Collymore,Liverpool FC,Aston Villa,8974359,99533800,11.090909
12,24180,5263,1994,1994-95,1994-12-11,3239,Duncan Ferguson,Rangers FC,Everton FC,5213675,93815395,17.9941
13,19405,5266,2001,2001-02,2001-09-03,3240,Steve Marlet,Olympique Lyon,Fulham FC,15042735,87391127,5.809524
14,21330,46748,1998,1998-99,1999-01-15,3094,John Hartson,West Ham United,Wimbledon FC (- 2004),9658120,87280785,9.037037
15,4877,2561224,2019,2019-20,2019-07-17,181375,Sébastien Haller,Eintracht Frankfurt,West Ham United,42735043,70455070,1.648649
16,4853,2544718,2019,2019-20,2019-07-08,249565,Youri Tielemans,AS Monaco,Leicester City,38461538,63409563,1.648649
17,22743,12416,1996,1996-97,1997-03-10,3520,Pierre van Hooijdonk,Celtic FC,Nottingham Forest,5128205,61822236,12.055336
18,20793,18841,1999,1999-00,1999-08-18,3144,Robbie Keane,Wolverhampton Wanderers,Coventry City,7692308,61538462,8.0
19,4503,3046653,2020,2020-21,2020-09-05,505653,Fábio Silva,FC Porto,Wolverhampton Wanderers,34188034,56364056,1.648649
20,12477,474661,2010,2010-11,2010-08-31,26802,Asamoah Gyan,Stade Rennais FC,Sunderland AFC,13675214,54880792,4.013158
21,24294,359284,1993,1993-94,1993-08-01,101326,Andy Sinton,Queens Park Rangers,Sheffield Wednesday,2863248,54666078,19.092332
22,15479,103427,2006,2006-07,2006-08-25,3226,Nicolas Anelka,Fenerbahce,Bolton Wanderers,10256410,48499304,4.728682
23,6893,1575732,2016,2016-17,2016-08-20,50201,Christian Benteke,Liverpool FC,Crystal Palace,26666667,47493917,1.781022
24,17056,27905,2004,2004-05,2004-07-01,3142,Emile Heskey,Liverpool FC,Birmingham City,7965812,46277574,5.809524
25,13758,209640,2008,2008-09,2008-07-11,4072,Peter Crouch,Liverpool FC,Portsmouth FC,11709402,45786763,3.910256
26,8923,1123329,2014,2014-15,2014-09-01,200512,Sadio Mané,SV Austria Salzburg,Southampton FC,19658120,45250766,2.301887
27,19238,5729,2002,2002-03,2002-08-29,3660,Lee Hughes,Coventry City,West Bromwich Albion,7692308,44688645,5.809524
28,5595,2214800,2018,2018-19,2018-08-07,262980,Jefferson Lerma,Levante UD,AFC Bournemouth,26068376,42977593,1.648649
29,4903,2596848,2019,2019-20,2019-08-08,410225,Ismaïla Sarr,Stade Rennais FC,Watford FC,25641026,42273042,1.648649
30,1242,5208347,2024,2024-25,2024-08-19,538977,Georginio Rutter,Leeds United,Brighton & Hove Albion,39914530,41029386,1.027931
31,7711,1425943,2015,2015-16,2016-02-01,130756,Giannelli Imbula,FC Porto,Stoke City,20726496,40784395,1.967742
32,20126,6167,2000,2000-01,2000-08-18,3860,Hermann Hreidarsson,Wimbledon FC (- 2004),Ipswich Town,5769231,39102564,6.777778
33,19668,5057,2001,2001-02,2001-07-01,3092,Jason Euell,Wimbledon FC (- 2004),Charlton Athletic,6410256,37240537,5.809524
34,4351,3085137,2020,2020-21,2020-10-02,406560,Rhian Brewster,Liverpool FC Reserves,Sheffield United,22222222,36636637,1.648649
35,10861,831827,2012,2012-13,2013-01-31,29016,Christopher Samba,Anzhi Makhachkala,Queens Park Rangers,12820513,35547786,2.772727
