category,rank,season,team,amount_gbp_2025_26
fees_paid,1,2003-04,Chelsea FC,834132275
fees_paid,2,2004-05,Chelsea FC,777629630
fees_paid,3,2022-23,Chelsea FC,691113837
fees_paid,4,2010-11,Manchester City,607335709
fees_paid,5,2008-09,Manchester City,500038283
fees_paid,6,2009-10,Manchester City,474738248
fees_paid,7,2008-09,Tottenham Hotspur,463941417
fees_paid,8,2017-18,Manchester City,450937696
fees_paid,9,1998-99,Blackburn Rovers,424679630
fees_paid,10,2001-02,Manchester United,411080688
fees_received,1,2002-03,Leeds United,383619444
fees_received,2,2010-11,Liverpool FC,340698099
fees_received,3,2009-10,Manchester United,336683850
fees_received,4,1999-00,Arsenal FC,303315118
fees_received,5,2013-14,Tottenham Hotspur,292156678
fees_received,6,2003-04,Manchester United,283949735
fees_received,7,2008-09,Tottenham Hotspur,283779380
fees_received,8,1997-98,Blackburn Rovers,277304798
fees_received,9,2017-18,Chelsea FC,276385750
fees_received,10,2014-15,Chelsea FC,270949790
net_spend,1,2003-04,Chelsea FC,826806085
net_spend,2,2004-05,Chelsea FC,761828043
net_spend,3,2022-23,Chelsea FC,616700533
net_spend,4,2010-11,Manchester City,474529605
net_spend,5,2008-09,Manchester City,414630519
net_spend,6,2009-10,Manchester City,380628561
net_spend,7,2010-11,Chelsea FC,347313596
net_spend,8,2017-18,Manchester City,321195464
net_spend,9,1998-99,Manchester United,299804526
net_spend,10,1998-99,Blackburn Rovers,292877367
