Team,Confederation,eloratings.net,My Model,Difference
Japan,AFC,13,15,-2
Senegal,CAF,17,12,5
Mexico,CONCACAF,20,25,-5
Morocco,CAF,24,18,6
Canada,CONCACAF,25,36,-11
Australia,AFC,26,31,-5
Iran,AFC,31,28,3
South Korea,AFC,32,33,-1
Algeria,CAF,35,22,13
Panama,CONCACAF,36,56,-20
Uzbekistan,AFC,38,47,-9
United States,CONCACAF,41,54,-13
Jordan,AFC,50,63,-13
Egypt,CAF,51,29,22
Ivory Coast,CAF,52,37,15
DR Congo,CAF,54,48,6
Tunisia,CAF,58,42,16
Iraq,AFC,63,61,2
New Zealand,OFC,68,88,-20
Saudi Arabia,AFC,71,73,-2
Cape Verde,CAF,72,62,10
Haiti,CONCACAF,77,90,-13
South Africa,CAF,79,60,19
Ghana,CAF,82,70,12
Curacao,CONCACAF,90,126,-36
Qatar,AFC,95,98,-3
