year,mean_home_advantage,median_home_advantage,matches,rolling_5yr_mean_home_advantage
1872,193.41723402353176,193.41723402353176,1,193.41723402353176
1873,193.41723402353176,193.41723402353176,1,193.41723402353176
1874,192.51995046594183,192.51995046594183,1,193.11813950433512
1875,195.6313219413887,195.6313219413887,1,193.74643511359852
1876,196.21895205488192,196.21895205488192,2,194.2409385018552
1877,194.05027931835127,194.05027931835127,2,194.3675475608191
1878,199.8655913124514,199.8655913124514,2,195.65721901860303
1879,191.4238714339098,191.62333315697535,3,195.4380032121966
1880,198.6883326239541,202.0587802133608,3,196.04940534870968
1881,190.66233701694367,188.99595924872952,3,194.93808234112203
1882,195.9602955284794,193.41723402353176,5,195.32008558314766
1883,188.1344898089692,186.63292866881085,5,192.97386528245124
1884,197.1070629062447,192.67911427614888,6,194.1105035769182
1885,189.81798694720217,186.61363207062192,6,192.33643444156783
1886,193.84758080109907,189.6890637709773,6,192.97348319839892
1887,188.43806661046742,184.4851746014807,6,191.4690374147965
1888,193.01111142418202,186.96688830733603,6,192.44436173783907
1889,188.00072820931624,184.7124349293984,6,190.6230947984534
1890,191.51267360014262,191.39219826933552,5,190.96203212904146
1891,186.45841481373077,183.01192345886466,6,189.48419893156782
1892,191.48914760870446,188.0300955076516,6,190.09441513121521
1893,187.81379216300346,186.31554446820576,6,189.05495127897953
1894,190.43397662765202,189.28775490794018,6,189.54160096264667
1895,189.68574433586937,189.88500589781216,6,189.17621510979203
1896,191.2158532480029,189.67729490364067,6,190.12770279664645
1897,191.57477088295715,190.81769473850318,6,190.14482745149698
1898,193.55228964276805,194.45994982193372,6,191.29252694744991
1899,189.3496189316601,187.9629718090231,6,191.07565540825152
1900,191.76659916008433,195.6380303132801,6,191.4918263730945
1901,191.93915037298027,190.71618911214952,6,191.63648579808998
1902,192.07015380190518,191.35319719510147,10,191.73556238187956
1903,192.25284397683473,191.74615560971662,10,191.4756732486929
1904,192.16881185892078,192.10547106701156,9,192.03951183414506
1905,189.80333255888067,188.67533708417355,13,191.6468585139043
1906,190.31847643375357,190.1664268131991,17,191.322723726059
1907,189.9651351884146,187.26066823048816,17,190.90172000336085
1908,191.1436554918783,187.7241214583835,33,190.67988230636956
1909,190.63861792889233,189.1485556878953,27,190.3738435203639
1910,189.27334928217581,189.0441057381572,32,190.26784686502293
1911,188.46117988560079,190.39316580175296,40,189.89638755539235
1912,188.19697588813918,189.11992167131132,37,189.5427556953373
1913,186.1947039718595,184.55496460551103,45,188.55296539133354
1914,188.69809881404154,186.75119996040922,40,188.16486156836336
1915,193.38023125474695,192.9431539564194,18,188.98623796287762
1916,190.66641260576588,187.65413240035068,24,189.4272845069106
1917,191.81529340079092,189.59110216407635,24,190.15094800944098
1918,192.45441643708656,190.45321592192187,20,191.40289050248637
1919,193.04846749770192,193.41723402353176,39,192.27296423921842
1920,189.0345003919041,188.5822995683035,41,191.40381806664988
1921,191.6486596738923,192.55477007000815,55,191.60026748027516
1922,193.0708583002952,193.7362640399166,64,191.85138046017602
1923,192.0716189953104,193.21049736150252,96,191.7748209718208
1924,190.06718509337722,192.25278168136632,89,191.17856449095584
1925,192.31212268185612,193.41723402353176,91,191.83408894894623
1926,189.150726607458,191.3272782738892,84,191.33450233565938
1927,191.79953655756483,193.41723402353176,85,191.08023798711332
1928,189.99953211827506,189.4519623565885,84,190.66582061170624
1929,190.88075922112515,190.51791835167825,86,190.82853543725582
1930,190.67851995720463,192.4494669308128,92,190.5018148923255
1931,192.35389583266226,192.77542050637945,99,191.14244873736638
1932,191.82926472673955,191.13240565807132,98,191.14839437120133
1933,191.9841833047358,190.90269106150197,104,191.54532460849347
1934,193.38659377045565,192.82784319504387,103,192.04649151835957
1935,189.09375883313612,189.47800927126477,117,191.72953929354588
1936,192.56434109991184,192.03578953440973,94,191.77162834699578
1937,192.22248184934347,190.4861814240154,113,191.8502717715166
1938,190.89888614496098,190.99004518563976,112,191.63321233956162
1939,191.0448139260579,190.78095492882812,86,191.1648563706821
1940,199.58428319312026,196.8816395094349,55,193.2629612426789
1941,196.0467480290332,195.8750839863145,44,193.95944262850315
1942,200.65252661913362,198.37158640687537,39,195.6454515824612
1943,196.59916728834526,196.9950162337624,32,196.78550781113805
1944,200.92502068054506,200.55082060953893,27,198.76154916203546
1945,201.65706101675667,201.179469694116,48,199.17610472676276
1946,194.75889602380013,197.27185847830486,78,198.91853432571617
1947,197.61933532945272,195.87933778400603,117,198.31189606777997
1948,193.896831550117,193.41723402353176,129,197.77142892013433
1949,198.99162462683105,197.02845180311823,128,197.3847497093915
1950,197.47989391969702,196.19830696380524,126,196.54931628997957
1951,193.97636286149557,193.65100476888517,102,196.39280965751868
1952,197.65981755813303,193.927755764168,102,196.40090610325473
1953,196.08737484569545,195.4824015297346,145,196.83901476237043
1954,198.4938358135504,195.48178407467486,124,196.7394569997143
